id,category,intent,question
1,troubleshooting,troubleshooting,App keeps crashing.
2,troubleshooting,troubleshooting,Payment failed.
3,troubleshooting,troubleshooting,Website is slow.
4,troubleshooting,troubleshooting,App keeps crashing.
5,troubleshooting,troubleshooting,Payment failed.
6,troubleshooting,troubleshooting,Website is slow.
7,troubleshooting,troubleshooting,App keeps crashing.
8,troubleshooting,troubleshooting,Payment failed.
9,troubleshooting,troubleshooting,Website is slow.
10,troubleshooting,troubleshooting,App keeps crashing.
11,troubleshooting,troubleshooting,Payment failed.
12,troubleshooting,troubleshooting,Website is slow.
13,troubleshooting,troubleshooting,App keeps crashing.
14,troubleshooting,troubleshooting,Payment failed.
15,troubleshooting,troubleshooting,Website is slow.
16,troubleshooting,troubleshooting,App keeps crashing.
17,troubleshooting,troubleshooting,Payment failed.
18,troubleshooting,troubleshooting,Website is slow.
19,troubleshooting,troubleshooting,App keeps crashing.
20,troubleshooting,troubleshooting,Payment failed.
21,troubleshooting,troubleshooting,Website is slow.
22,troubleshooting,troubleshooting,App keeps crashing.
23,troubleshooting,troubleshooting,Payment failed.
24,troubleshooting,troubleshooting,Website is slow.
25,troubleshooting,troubleshooting,App keeps crashing.
26,troubleshooting,troubleshooting,Payment failed.
27,troubleshooting,troubleshooting,Website is slow.
28,troubleshooting,troubleshooting,App keeps crashing.
29,troubleshooting,troubleshooting,Payment failed.
30,troubleshooting,troubleshooting,Website is slow.
31,troubleshooting,troubleshooting,App keeps crashing.
32,troubleshooting,troubleshooting,Payment failed.
33,troubleshooting,troubleshooting,Website is slow.
34,troubleshooting,troubleshooting,App keeps crashing.
35,troubleshooting,troubleshooting,Payment failed.
36,troubleshooting,troubleshooting,Website is slow.
37,troubleshooting,troubleshooting,App keeps crashing.
38,troubleshooting,troubleshooting,Payment failed.
39,troubleshooting,troubleshooting,Website is slow.
40,troubleshooting,troubleshooting,App keeps crashing.
41,troubleshooting,troubleshooting,Payment failed.
42,troubleshooting,troubleshooting,Website is slow.
43,troubleshooting,troubleshooting,App keeps crashing.
44,troubleshooting,troubleshooting,Payment failed.
45,troubleshooting,troubleshooting,Website is slow.
46,troubleshooting,troubleshooting,App keeps crashing.
47,troubleshooting,troubleshooting,Payment failed.
48,troubleshooting,troubleshooting,Website is slow.
49,troubleshooting,troubleshooting,App keeps crashing.
50,troubleshooting,troubleshooting,Payment failed.
51,troubleshooting,troubleshooting,Website is slow.
52,troubleshooting,troubleshooting,App keeps crashing.
53,troubleshooting,troubleshooting,Payment failed.
54,troubleshooting,troubleshooting,Website is slow.
55,troubleshooting,troubleshooting,App keeps crashing.
56,troubleshooting,troubleshooting,Payment failed.
57,troubleshooting,troubleshooting,Website is slow.
58,troubleshooting,troubleshooting,App keeps crashing.
59,troubleshooting,troubleshooting,Payment failed.
60,troubleshooting,troubleshooting,Website is slow.
61,troubleshooting,troubleshooting,App keeps crashing.
62,troubleshooting,troubleshooting,Payment failed.
63,troubleshooting,troubleshooting,Website is slow.
64,troubleshooting,troubleshooting,App keeps crashing.
65,troubleshooting,troubleshooting,Payment failed.
66,troubleshooting,troubleshooting,Website is slow.
67,troubleshooting,troubleshooting,App keeps crashing.
68,troubleshooting,troubleshooting,Payment failed.
69,troubleshooting,troubleshooting,Website is slow.
70,troubleshooting,troubleshooting,App keeps crashing.
71,troubleshooting,troubleshooting,Payment failed.
72,troubleshooting,troubleshooting,Website is slow.
73,troubleshooting,troubleshooting,App keeps crashing.
74,troubleshooting,troubleshooting,Payment failed.
75,troubleshooting,troubleshooting,Website is slow.
76,troubleshooting,troubleshooting,App keeps crashing.
77,troubleshooting,troubleshooting,Payment failed.
78,troubleshooting,troubleshooting,Website is slow.
79,troubleshooting,troubleshooting,App keeps crashing.
80,troubleshooting,troubleshooting,Payment failed.
81,troubleshooting,troubleshooting,Website is slow.
82,troubleshooting,troubleshooting,App keeps crashing.
83,troubleshooting,troubleshooting,Payment failed.
84,troubleshooting,troubleshooting,Website is slow.
85,troubleshooting,troubleshooting,App keeps crashing.
86,troubleshooting,troubleshooting,Payment failed.
87,troubleshooting,troubleshooting,Website is slow.
88,troubleshooting,troubleshooting,App keeps crashing.
89,troubleshooting,troubleshooting,Payment failed.
90,troubleshooting,troubleshooting,Website is slow.
91,troubleshooting,troubleshooting,App keeps crashing.
92,troubleshooting,troubleshooting,Payment failed.
93,troubleshooting,troubleshooting,Website is slow.
94,troubleshooting,troubleshooting,App keeps crashing.
95,troubleshooting,troubleshooting,Payment failed.
96,troubleshooting,troubleshooting,Website is slow.
97,troubleshooting,troubleshooting,App keeps crashing.
98,troubleshooting,troubleshooting,Payment failed.
99,troubleshooting,troubleshooting,Website is slow.
100,troubleshooting,troubleshooting,App keeps crashing.
