id,category,intent,question
1,small_talk,small_talk,How are you?
2,small_talk,small_talk,Thank you
3,small_talk,small_talk,Bye
4,small_talk,small_talk,How are you?
5,small_talk,small_talk,Thank you
6,small_talk,small_talk,Bye
7,small_talk,small_talk,How are you?
8,small_talk,small_talk,Thank you
9,small_talk,small_talk,Bye
10,small_talk,small_talk,How are you?
11,small_talk,small_talk,Thank you
12,small_talk,small_talk,Bye
13,small_talk,small_talk,How are you?
14,small_talk,small_talk,Thank you
15,small_talk,small_talk,Bye
16,small_talk,small_talk,How are you?
17,small_talk,small_talk,Thank you
18,small_talk,small_talk,Bye
19,small_talk,small_talk,How are you?
20,small_talk,small_talk,Thank you
21,small_talk,small_talk,Bye
22,small_talk,small_talk,How are you?
23,small_talk,small_talk,Thank you
24,small_talk,small_talk,Bye
25,small_talk,small_talk,How are you?
26,small_talk,small_talk,Thank you
27,small_talk,small_talk,Bye
28,small_talk,small_talk,How are you?
29,small_talk,small_talk,Thank you
30,small_talk,small_talk,Bye
31,small_talk,small_talk,How are you?
32,small_talk,small_talk,Thank you
33,small_talk,small_talk,Bye
34,small_talk,small_talk,How are you?
35,small_talk,small_talk,Thank you
36,small_talk,small_talk,Bye
37,small_talk,small_talk,How are you?
38,small_talk,small_talk,Thank you
39,small_talk,small_talk,Bye
40,small_talk,small_talk,How are you?
41,small_talk,small_talk,Thank you
42,small_talk,small_talk,Bye
43,small_talk,small_talk,How are you?
44,small_talk,small_talk,Thank you
45,small_talk,small_talk,Bye
46,small_talk,small_talk,How are you?
47,small_talk,small_talk,Thank you
48,small_talk,small_talk,Bye
49,small_talk,small_talk,How are you?
50,small_talk,small_talk,Thank you
51,small_talk,small_talk,Bye
52,small_talk,small_talk,How are you?
53,small_talk,small_talk,Thank you
54,small_talk,small_talk,Bye
55,small_talk,small_talk,How are you?
56,small_talk,small_talk,Thank you
57,small_talk,small_talk,Bye
58,small_talk,small_talk,How are you?
59,small_talk,small_talk,Thank you
60,small_talk,small_talk,Bye
61,small_talk,small_talk,How are you?
62,small_talk,small_talk,Thank you
63,small_talk,small_talk,Bye
64,small_talk,small_talk,How are you?
65,small_talk,small_talk,Thank you
66,small_talk,small_talk,Bye
67,small_talk,small_talk,How are you?
68,small_talk,small_talk,Thank you
69,small_talk,small_talk,Bye
70,small_talk,small_talk,How are you?
71,small_talk,small_talk,Thank you
72,small_talk,small_talk,Bye
73,small_talk,small_talk,How are you?
74,small_talk,small_talk,Thank you
75,small_talk,small_talk,Bye
76,small_talk,small_talk,How are you?
77,small_talk,small_talk,Thank you
78,small_talk,small_talk,Bye
79,small_talk,small_talk,How are you?
80,small_talk,small_talk,Thank you
81,small_talk,small_talk,Bye
82,small_talk,small_talk,How are you?
83,small_talk,small_talk,Thank you
84,small_talk,small_talk,Bye
85,small_talk,small_talk,How are you?
86,small_talk,small_talk,Thank you
87,small_talk,small_talk,Bye
88,small_talk,small_talk,How are you?
89,small_talk,small_talk,Thank you
90,small_talk,small_talk,Bye
91,small_talk,small_talk,How are you?
92,small_talk,small_talk,Thank you
93,small_talk,small_talk,Bye
94,small_talk,small_talk,How are you?
95,small_talk,small_talk,Thank you
96,small_talk,small_talk,Bye
97,small_talk,small_talk,How are you?
98,small_talk,small_talk,Thank you
99,small_talk,small_talk,Bye
100,small_talk,small_talk,How are you?
