id,category,intent,question
1,return_policy,return_policy,Can I return iPhone 17 after 1 days?
2,return_policy,return_policy,Can I return Samsung Galaxy S25 after 2 days?
3,return_policy,return_policy,Can I return OnePlus 15 after 3 days?
4,return_policy,return_policy,Can I return Dell Inspiron after 4 days?
5,return_policy,return_policy,Can I return HP Pavilion after 5 days?
6,return_policy,return_policy,Can I return Sony Bravia after 6 days?
7,return_policy,return_policy,Can I return LG Refrigerator after 7 days?
8,return_policy,return_policy,Can I return Canon R50 after 8 days?
9,return_policy,return_policy,Can I return boAt Airdopes after 9 days?
10,return_policy,return_policy,Can I return ASUS ROG after 10 days?
11,return_policy,return_policy,Can I return iPhone 17 after 11 days?
12,return_policy,return_policy,Can I return Samsung Galaxy S25 after 12 days?
13,return_policy,return_policy,Can I return OnePlus 15 after 13 days?
14,return_policy,return_policy,Can I return Dell Inspiron after 14 days?
15,return_policy,return_policy,Can I return HP Pavilion after 15 days?
16,return_policy,return_policy,Can I return Sony Bravia after 16 days?
17,return_policy,return_policy,Can I return LG Refrigerator after 17 days?
18,return_policy,return_policy,Can I return Canon R50 after 18 days?
19,return_policy,return_policy,Can I return boAt Airdopes after 19 days?
20,return_policy,return_policy,Can I return ASUS ROG after 20 days?
21,return_policy,return_policy,Can I return iPhone 17 after 21 days?
22,return_policy,return_policy,Can I return Samsung Galaxy S25 after 22 days?
23,return_policy,return_policy,Can I return OnePlus 15 after 23 days?
24,return_policy,return_policy,Can I return Dell Inspiron after 24 days?
25,return_policy,return_policy,Can I return HP Pavilion after 25 days?
26,return_policy,return_policy,Can I return Sony Bravia after 26 days?
27,return_policy,return_policy,Can I return LG Refrigerator after 27 days?
28,return_policy,return_policy,Can I return Canon R50 after 28 days?
29,return_policy,return_policy,Can I return boAt Airdopes after 29 days?
30,return_policy,return_policy,Can I return ASUS ROG after 30 days?
31,return_policy,return_policy,Can I return iPhone 17 after 31 days?
32,return_policy,return_policy,Can I return Samsung Galaxy S25 after 32 days?
33,return_policy,return_policy,Can I return OnePlus 15 after 33 days?
34,return_policy,return_policy,Can I return Dell Inspiron after 34 days?
35,return_policy,return_policy,Can I return HP Pavilion after 35 days?
36,return_policy,return_policy,Can I return Sony Bravia after 36 days?
37,return_policy,return_policy,Can I return LG Refrigerator after 37 days?
38,return_policy,return_policy,Can I return Canon R50 after 38 days?
39,return_policy,return_policy,Can I return boAt Airdopes after 39 days?
40,return_policy,return_policy,Can I return ASUS ROG after 40 days?
41,return_policy,return_policy,Can I return iPhone 17 after 41 days?
42,return_policy,return_policy,Can I return Samsung Galaxy S25 after 42 days?
43,return_policy,return_policy,Can I return OnePlus 15 after 43 days?
44,return_policy,return_policy,Can I return Dell Inspiron after 44 days?
45,return_policy,return_policy,Can I return HP Pavilion after 45 days?
46,return_policy,return_policy,Can I return Sony Bravia after 46 days?
47,return_policy,return_policy,Can I return LG Refrigerator after 47 days?
48,return_policy,return_policy,Can I return Canon R50 after 48 days?
49,return_policy,return_policy,Can I return boAt Airdopes after 49 days?
50,return_policy,return_policy,Can I return ASUS ROG after 50 days?
