id,category,intent,question
1,payment_methods,payment_methods,Can I buy iPhone 17 using payment option #1?
2,payment_methods,payment_methods,Can I buy Samsung Galaxy S25 using payment option #2?
3,payment_methods,payment_methods,Can I buy OnePlus 15 using payment option #3?
4,payment_methods,payment_methods,Can I buy Dell Inspiron using payment option #4?
5,payment_methods,payment_methods,Can I buy HP Pavilion using payment option #5?
6,payment_methods,payment_methods,Can I buy Sony Bravia using payment option #1?
7,payment_methods,payment_methods,Can I buy LG Refrigerator using payment option #2?
8,payment_methods,payment_methods,Can I buy Canon R50 using payment option #3?
9,payment_methods,payment_methods,Can I buy boAt Airdopes using payment option #4?
10,payment_methods,payment_methods,Can I buy ASUS ROG using payment option #5?
11,payment_methods,payment_methods,Can I buy iPhone 17 using payment option #1?
12,payment_methods,payment_methods,Can I buy Samsung Galaxy S25 using payment option #2?
13,payment_methods,payment_methods,Can I buy OnePlus 15 using payment option #3?
14,payment_methods,payment_methods,Can I buy Dell Inspiron using payment option #4?
15,payment_methods,payment_methods,Can I buy HP Pavilion using payment option #5?
16,payment_methods,payment_methods,Can I buy Sony Bravia using payment option #1?
17,payment_methods,payment_methods,Can I buy LG Refrigerator using payment option #2?
18,payment_methods,payment_methods,Can I buy Canon R50 using payment option #3?
19,payment_methods,payment_methods,Can I buy boAt Airdopes using payment option #4?
20,payment_methods,payment_methods,Can I buy ASUS ROG using payment option #5?
21,payment_methods,payment_methods,Can I buy iPhone 17 using payment option #1?
22,payment_methods,payment_methods,Can I buy Samsung Galaxy S25 using payment option #2?
23,payment_methods,payment_methods,Can I buy OnePlus 15 using payment option #3?
24,payment_methods,payment_methods,Can I buy Dell Inspiron using payment option #4?
25,payment_methods,payment_methods,Can I buy HP Pavilion using payment option #5?
26,payment_methods,payment_methods,Can I buy Sony Bravia using payment option #1?
27,payment_methods,payment_methods,Can I buy LG Refrigerator using payment option #2?
28,payment_methods,payment_methods,Can I buy Canon R50 using payment option #3?
29,payment_methods,payment_methods,Can I buy boAt Airdopes using payment option #4?
30,payment_methods,payment_methods,Can I buy ASUS ROG using payment option #5?
31,payment_methods,payment_methods,Can I buy iPhone 17 using payment option #1?
32,payment_methods,payment_methods,Can I buy Samsung Galaxy S25 using payment option #2?
33,payment_methods,payment_methods,Can I buy OnePlus 15 using payment option #3?
34,payment_methods,payment_methods,Can I buy Dell Inspiron using payment option #4?
35,payment_methods,payment_methods,Can I buy HP Pavilion using payment option #5?
36,payment_methods,payment_methods,Can I buy Sony Bravia using payment option #1?
37,payment_methods,payment_methods,Can I buy LG Refrigerator using payment option #2?
38,payment_methods,payment_methods,Can I buy Canon R50 using payment option #3?
39,payment_methods,payment_methods,Can I buy boAt Airdopes using payment option #4?
40,payment_methods,payment_methods,Can I buy ASUS ROG using payment option #5?
41,payment_methods,payment_methods,Can I buy iPhone 17 using payment option #1?
42,payment_methods,payment_methods,Can I buy Samsung Galaxy S25 using payment option #2?
43,payment_methods,payment_methods,Can I buy OnePlus 15 using payment option #3?
44,payment_methods,payment_methods,Can I buy Dell Inspiron using payment option #4?
45,payment_methods,payment_methods,Can I buy HP Pavilion using payment option #5?
46,payment_methods,payment_methods,Can I buy Sony Bravia using payment option #1?
47,payment_methods,payment_methods,Can I buy LG Refrigerator using payment option #2?
48,payment_methods,payment_methods,Can I buy Canon R50 using payment option #3?
49,payment_methods,payment_methods,Can I buy boAt Airdopes using payment option #4?
50,payment_methods,payment_methods,Can I buy ASUS ROG using payment option #5?
