id,category,intent,question
1,gift_cards,gift_cards,Do you sell gift cards?
2,gift_cards,gift_cards,How do I redeem a gift card?
3,gift_cards,gift_cards,Gift card expiry?
4,gift_cards,gift_cards,Do you sell gift cards?
5,gift_cards,gift_cards,How do I redeem a gift card?
6,gift_cards,gift_cards,Gift card expiry?
7,gift_cards,gift_cards,Do you sell gift cards?
8,gift_cards,gift_cards,How do I redeem a gift card?
9,gift_cards,gift_cards,Gift card expiry?
10,gift_cards,gift_cards,Do you sell gift cards?
11,gift_cards,gift_cards,How do I redeem a gift card?
12,gift_cards,gift_cards,Gift card expiry?
13,gift_cards,gift_cards,Do you sell gift cards?
14,gift_cards,gift_cards,How do I redeem a gift card?
15,gift_cards,gift_cards,Gift card expiry?
16,gift_cards,gift_cards,Do you sell gift cards?
17,gift_cards,gift_cards,How do I redeem a gift card?
18,gift_cards,gift_cards,Gift card expiry?
19,gift_cards,gift_cards,Do you sell gift cards?
20,gift_cards,gift_cards,How do I redeem a gift card?
21,gift_cards,gift_cards,Gift card expiry?
22,gift_cards,gift_cards,Do you sell gift cards?
23,gift_cards,gift_cards,How do I redeem a gift card?
24,gift_cards,gift_cards,Gift card expiry?
25,gift_cards,gift_cards,Do you sell gift cards?
26,gift_cards,gift_cards,How do I redeem a gift card?
27,gift_cards,gift_cards,Gift card expiry?
28,gift_cards,gift_cards,Do you sell gift cards?
29,gift_cards,gift_cards,How do I redeem a gift card?
30,gift_cards,gift_cards,Gift card expiry?
31,gift_cards,gift_cards,Do you sell gift cards?
32,gift_cards,gift_cards,How do I redeem a gift card?
33,gift_cards,gift_cards,Gift card expiry?
34,gift_cards,gift_cards,Do you sell gift cards?
35,gift_cards,gift_cards,How do I redeem a gift card?
36,gift_cards,gift_cards,Gift card expiry?
37,gift_cards,gift_cards,Do you sell gift cards?
38,gift_cards,gift_cards,How do I redeem a gift card?
39,gift_cards,gift_cards,Gift card expiry?
40,gift_cards,gift_cards,Do you sell gift cards?
41,gift_cards,gift_cards,How do I redeem a gift card?
42,gift_cards,gift_cards,Gift card expiry?
43,gift_cards,gift_cards,Do you sell gift cards?
44,gift_cards,gift_cards,How do I redeem a gift card?
45,gift_cards,gift_cards,Gift card expiry?
46,gift_cards,gift_cards,Do you sell gift cards?
47,gift_cards,gift_cards,How do I redeem a gift card?
48,gift_cards,gift_cards,Gift card expiry?
49,gift_cards,gift_cards,Do you sell gift cards?
50,gift_cards,gift_cards,How do I redeem a gift card?
51,gift_cards,gift_cards,Gift card expiry?
52,gift_cards,gift_cards,Do you sell gift cards?
53,gift_cards,gift_cards,How do I redeem a gift card?
54,gift_cards,gift_cards,Gift card expiry?
55,gift_cards,gift_cards,Do you sell gift cards?
56,gift_cards,gift_cards,How do I redeem a gift card?
57,gift_cards,gift_cards,Gift card expiry?
58,gift_cards,gift_cards,Do you sell gift cards?
59,gift_cards,gift_cards,How do I redeem a gift card?
60,gift_cards,gift_cards,Gift card expiry?
61,gift_cards,gift_cards,Do you sell gift cards?
62,gift_cards,gift_cards,How do I redeem a gift card?
63,gift_cards,gift_cards,Gift card expiry?
64,gift_cards,gift_cards,Do you sell gift cards?
65,gift_cards,gift_cards,How do I redeem a gift card?
66,gift_cards,gift_cards,Gift card expiry?
67,gift_cards,gift_cards,Do you sell gift cards?
68,gift_cards,gift_cards,How do I redeem a gift card?
69,gift_cards,gift_cards,Gift card expiry?
70,gift_cards,gift_cards,Do you sell gift cards?
71,gift_cards,gift_cards,How do I redeem a gift card?
72,gift_cards,gift_cards,Gift card expiry?
73,gift_cards,gift_cards,Do you sell gift cards?
74,gift_cards,gift_cards,How do I redeem a gift card?
75,gift_cards,gift_cards,Gift card expiry?
76,gift_cards,gift_cards,Do you sell gift cards?
77,gift_cards,gift_cards,How do I redeem a gift card?
78,gift_cards,gift_cards,Gift card expiry?
79,gift_cards,gift_cards,Do you sell gift cards?
80,gift_cards,gift_cards,How do I redeem a gift card?
81,gift_cards,gift_cards,Gift card expiry?
82,gift_cards,gift_cards,Do you sell gift cards?
83,gift_cards,gift_cards,How do I redeem a gift card?
84,gift_cards,gift_cards,Gift card expiry?
85,gift_cards,gift_cards,Do you sell gift cards?
86,gift_cards,gift_cards,How do I redeem a gift card?
87,gift_cards,gift_cards,Gift card expiry?
88,gift_cards,gift_cards,Do you sell gift cards?
89,gift_cards,gift_cards,How do I redeem a gift card?
90,gift_cards,gift_cards,Gift card expiry?
91,gift_cards,gift_cards,Do you sell gift cards?
92,gift_cards,gift_cards,How do I redeem a gift card?
93,gift_cards,gift_cards,Gift card expiry?
94,gift_cards,gift_cards,Do you sell gift cards?
95,gift_cards,gift_cards,How do I redeem a gift card?
96,gift_cards,gift_cards,Gift card expiry?
97,gift_cards,gift_cards,Do you sell gift cards?
98,gift_cards,gift_cards,How do I redeem a gift card?
99,gift_cards,gift_cards,Gift card expiry?
100,gift_cards,gift_cards,Do you sell gift cards?
