id,category,intent,question
1,miscellaneous,miscellaneous,Do you have student discounts?
2,miscellaneous,miscellaneous,Do you recycle electronics?
3,miscellaneous,miscellaneous,Can I pre-order products?
4,miscellaneous,miscellaneous,Do you have student discounts?
5,miscellaneous,miscellaneous,Do you recycle electronics?
6,miscellaneous,miscellaneous,Can I pre-order products?
7,miscellaneous,miscellaneous,Do you have student discounts?
8,miscellaneous,miscellaneous,Do you recycle electronics?
9,miscellaneous,miscellaneous,Can I pre-order products?
10,miscellaneous,miscellaneous,Do you have student discounts?
11,miscellaneous,miscellaneous,Do you recycle electronics?
12,miscellaneous,miscellaneous,Can I pre-order products?
13,miscellaneous,miscellaneous,Do you have student discounts?
14,miscellaneous,miscellaneous,Do you recycle electronics?
15,miscellaneous,miscellaneous,Can I pre-order products?
16,miscellaneous,miscellaneous,Do you have student discounts?
17,miscellaneous,miscellaneous,Do you recycle electronics?
18,miscellaneous,miscellaneous,Can I pre-order products?
19,miscellaneous,miscellaneous,Do you have student discounts?
20,miscellaneous,miscellaneous,Do you recycle electronics?
21,miscellaneous,miscellaneous,Can I pre-order products?
22,miscellaneous,miscellaneous,Do you have student discounts?
23,miscellaneous,miscellaneous,Do you recycle electronics?
24,miscellaneous,miscellaneous,Can I pre-order products?
25,miscellaneous,miscellaneous,Do you have student discounts?
26,miscellaneous,miscellaneous,Do you recycle electronics?
27,miscellaneous,miscellaneous,Can I pre-order products?
28,miscellaneous,miscellaneous,Do you have student discounts?
29,miscellaneous,miscellaneous,Do you recycle electronics?
30,miscellaneous,miscellaneous,Can I pre-order products?
31,miscellaneous,miscellaneous,Do you have student discounts?
32,miscellaneous,miscellaneous,Do you recycle electronics?
33,miscellaneous,miscellaneous,Can I pre-order products?
34,miscellaneous,miscellaneous,Do you have student discounts?
35,miscellaneous,miscellaneous,Do you recycle electronics?
36,miscellaneous,miscellaneous,Can I pre-order products?
37,miscellaneous,miscellaneous,Do you have student discounts?
38,miscellaneous,miscellaneous,Do you recycle electronics?
39,miscellaneous,miscellaneous,Can I pre-order products?
40,miscellaneous,miscellaneous,Do you have student discounts?
41,miscellaneous,miscellaneous,Do you recycle electronics?
42,miscellaneous,miscellaneous,Can I pre-order products?
43,miscellaneous,miscellaneous,Do you have student discounts?
44,miscellaneous,miscellaneous,Do you recycle electronics?
45,miscellaneous,miscellaneous,Can I pre-order products?
46,miscellaneous,miscellaneous,Do you have student discounts?
47,miscellaneous,miscellaneous,Do you recycle electronics?
48,miscellaneous,miscellaneous,Can I pre-order products?
49,miscellaneous,miscellaneous,Do you have student discounts?
50,miscellaneous,miscellaneous,Do you recycle electronics?
51,miscellaneous,miscellaneous,Can I pre-order products?
52,miscellaneous,miscellaneous,Do you have student discounts?
53,miscellaneous,miscellaneous,Do you recycle electronics?
54,miscellaneous,miscellaneous,Can I pre-order products?
55,miscellaneous,miscellaneous,Do you have student discounts?
56,miscellaneous,miscellaneous,Do you recycle electronics?
57,miscellaneous,miscellaneous,Can I pre-order products?
58,miscellaneous,miscellaneous,Do you have student discounts?
59,miscellaneous,miscellaneous,Do you recycle electronics?
60,miscellaneous,miscellaneous,Can I pre-order products?
61,miscellaneous,miscellaneous,Do you have student discounts?
62,miscellaneous,miscellaneous,Do you recycle electronics?
63,miscellaneous,miscellaneous,Can I pre-order products?
64,miscellaneous,miscellaneous,Do you have student discounts?
65,miscellaneous,miscellaneous,Do you recycle electronics?
66,miscellaneous,miscellaneous,Can I pre-order products?
67,miscellaneous,miscellaneous,Do you have student discounts?
68,miscellaneous,miscellaneous,Do you recycle electronics?
69,miscellaneous,miscellaneous,Can I pre-order products?
70,miscellaneous,miscellaneous,Do you have student discounts?
71,miscellaneous,miscellaneous,Do you recycle electronics?
72,miscellaneous,miscellaneous,Can I pre-order products?
73,miscellaneous,miscellaneous,Do you have student discounts?
74,miscellaneous,miscellaneous,Do you recycle electronics?
75,miscellaneous,miscellaneous,Can I pre-order products?
76,miscellaneous,miscellaneous,Do you have student discounts?
77,miscellaneous,miscellaneous,Do you recycle electronics?
78,miscellaneous,miscellaneous,Can I pre-order products?
79,miscellaneous,miscellaneous,Do you have student discounts?
80,miscellaneous,miscellaneous,Do you recycle electronics?
81,miscellaneous,miscellaneous,Can I pre-order products?
82,miscellaneous,miscellaneous,Do you have student discounts?
83,miscellaneous,miscellaneous,Do you recycle electronics?
84,miscellaneous,miscellaneous,Can I pre-order products?
85,miscellaneous,miscellaneous,Do you have student discounts?
86,miscellaneous,miscellaneous,Do you recycle electronics?
87,miscellaneous,miscellaneous,Can I pre-order products?
88,miscellaneous,miscellaneous,Do you have student discounts?
89,miscellaneous,miscellaneous,Do you recycle electronics?
90,miscellaneous,miscellaneous,Can I pre-order products?
91,miscellaneous,miscellaneous,Do you have student discounts?
92,miscellaneous,miscellaneous,Do you recycle electronics?
93,miscellaneous,miscellaneous,Can I pre-order products?
94,miscellaneous,miscellaneous,Do you have student discounts?
95,miscellaneous,miscellaneous,Do you recycle electronics?
96,miscellaneous,miscellaneous,Can I pre-order products?
97,miscellaneous,miscellaneous,Do you have student discounts?
98,miscellaneous,miscellaneous,Do you recycle electronics?
99,miscellaneous,miscellaneous,Can I pre-order products?
100,miscellaneous,miscellaneous,Do you have student discounts?
