id,category,intent,question
1,product_price,product_price,What is today's price of iPhone 17 variant 1?
2,product_price,product_price,What is today's price of Samsung Galaxy S25 variant 2?
3,product_price,product_price,What is today's price of OnePlus 15 variant 3?
4,product_price,product_price,What is today's price of Dell Inspiron variant 4?
5,product_price,product_price,What is today's price of HP Pavilion variant 5?
6,product_price,product_price,What is today's price of Sony Bravia variant 6?
7,product_price,product_price,What is today's price of LG Refrigerator variant 7?
8,product_price,product_price,What is today's price of Canon R50 variant 8?
9,product_price,product_price,What is today's price of boAt Airdopes variant 9?
10,product_price,product_price,What is today's price of ASUS ROG variant 10?
11,product_price,product_price,What is today's price of iPhone 17 variant 11?
12,product_price,product_price,What is today's price of Samsung Galaxy S25 variant 12?
13,product_price,product_price,What is today's price of OnePlus 15 variant 13?
14,product_price,product_price,What is today's price of Dell Inspiron variant 14?
15,product_price,product_price,What is today's price of HP Pavilion variant 15?
16,product_price,product_price,What is today's price of Sony Bravia variant 16?
17,product_price,product_price,What is today's price of LG Refrigerator variant 17?
18,product_price,product_price,What is today's price of Canon R50 variant 18?
19,product_price,product_price,What is today's price of boAt Airdopes variant 19?
20,product_price,product_price,What is today's price of ASUS ROG variant 20?
21,product_price,product_price,What is today's price of iPhone 17 variant 21?
22,product_price,product_price,What is today's price of Samsung Galaxy S25 variant 22?
23,product_price,product_price,What is today's price of OnePlus 15 variant 23?
24,product_price,product_price,What is today's price of Dell Inspiron variant 24?
25,product_price,product_price,What is today's price of HP Pavilion variant 25?
26,product_price,product_price,What is today's price of Sony Bravia variant 26?
27,product_price,product_price,What is today's price of LG Refrigerator variant 27?
28,product_price,product_price,What is today's price of Canon R50 variant 28?
29,product_price,product_price,What is today's price of boAt Airdopes variant 29?
30,product_price,product_price,What is today's price of ASUS ROG variant 30?
31,product_price,product_price,What is today's price of iPhone 17 variant 31?
32,product_price,product_price,What is today's price of Samsung Galaxy S25 variant 32?
33,product_price,product_price,What is today's price of OnePlus 15 variant 33?
34,product_price,product_price,What is today's price of Dell Inspiron variant 34?
35,product_price,product_price,What is today's price of HP Pavilion variant 35?
36,product_price,product_price,What is today's price of Sony Bravia variant 36?
37,product_price,product_price,What is today's price of LG Refrigerator variant 37?
38,product_price,product_price,What is today's price of Canon R50 variant 38?
39,product_price,product_price,What is today's price of boAt Airdopes variant 39?
40,product_price,product_price,What is today's price of ASUS ROG variant 40?
41,product_price,product_price,What is today's price of iPhone 17 variant 41?
42,product_price,product_price,What is today's price of Samsung Galaxy S25 variant 42?
43,product_price,product_price,What is today's price of OnePlus 15 variant 43?
44,product_price,product_price,What is today's price of Dell Inspiron variant 44?
45,product_price,product_price,What is today's price of HP Pavilion variant 45?
46,product_price,product_price,What is today's price of Sony Bravia variant 46?
47,product_price,product_price,What is today's price of LG Refrigerator variant 47?
48,product_price,product_price,What is today's price of Canon R50 variant 48?
49,product_price,product_price,What is today's price of boAt Airdopes variant 49?
50,product_price,product_price,What is today's price of ASUS ROG variant 50?
