id,category,intent,question
1,coupons,coupons,Do you have coupon codes?
2,coupons,coupons,How do I apply a coupon?
3,coupons,coupons,Why is my coupon invalid?
4,coupons,coupons,Do you have coupon codes?
5,coupons,coupons,How do I apply a coupon?
6,coupons,coupons,Why is my coupon invalid?
7,coupons,coupons,Do you have coupon codes?
8,coupons,coupons,How do I apply a coupon?
9,coupons,coupons,Why is my coupon invalid?
10,coupons,coupons,Do you have coupon codes?
11,coupons,coupons,How do I apply a coupon?
12,coupons,coupons,Why is my coupon invalid?
13,coupons,coupons,Do you have coupon codes?
14,coupons,coupons,How do I apply a coupon?
15,coupons,coupons,Why is my coupon invalid?
16,coupons,coupons,Do you have coupon codes?
17,coupons,coupons,How do I apply a coupon?
18,coupons,coupons,Why is my coupon invalid?
19,coupons,coupons,Do you have coupon codes?
20,coupons,coupons,How do I apply a coupon?
21,coupons,coupons,Why is my coupon invalid?
22,coupons,coupons,Do you have coupon codes?
23,coupons,coupons,How do I apply a coupon?
24,coupons,coupons,Why is my coupon invalid?
25,coupons,coupons,Do you have coupon codes?
26,coupons,coupons,How do I apply a coupon?
27,coupons,coupons,Why is my coupon invalid?
28,coupons,coupons,Do you have coupon codes?
29,coupons,coupons,How do I apply a coupon?
30,coupons,coupons,Why is my coupon invalid?
31,coupons,coupons,Do you have coupon codes?
32,coupons,coupons,How do I apply a coupon?
33,coupons,coupons,Why is my coupon invalid?
34,coupons,coupons,Do you have coupon codes?
35,coupons,coupons,How do I apply a coupon?
36,coupons,coupons,Why is my coupon invalid?
37,coupons,coupons,Do you have coupon codes?
38,coupons,coupons,How do I apply a coupon?
39,coupons,coupons,Why is my coupon invalid?
40,coupons,coupons,Do you have coupon codes?
41,coupons,coupons,How do I apply a coupon?
42,coupons,coupons,Why is my coupon invalid?
43,coupons,coupons,Do you have coupon codes?
44,coupons,coupons,How do I apply a coupon?
45,coupons,coupons,Why is my coupon invalid?
46,coupons,coupons,Do you have coupon codes?
47,coupons,coupons,How do I apply a coupon?
48,coupons,coupons,Why is my coupon invalid?
49,coupons,coupons,Do you have coupon codes?
50,coupons,coupons,How do I apply a coupon?
51,coupons,coupons,Why is my coupon invalid?
52,coupons,coupons,Do you have coupon codes?
53,coupons,coupons,How do I apply a coupon?
54,coupons,coupons,Why is my coupon invalid?
55,coupons,coupons,Do you have coupon codes?
56,coupons,coupons,How do I apply a coupon?
57,coupons,coupons,Why is my coupon invalid?
58,coupons,coupons,Do you have coupon codes?
59,coupons,coupons,How do I apply a coupon?
60,coupons,coupons,Why is my coupon invalid?
61,coupons,coupons,Do you have coupon codes?
62,coupons,coupons,How do I apply a coupon?
63,coupons,coupons,Why is my coupon invalid?
64,coupons,coupons,Do you have coupon codes?
65,coupons,coupons,How do I apply a coupon?
66,coupons,coupons,Why is my coupon invalid?
67,coupons,coupons,Do you have coupon codes?
68,coupons,coupons,How do I apply a coupon?
69,coupons,coupons,Why is my coupon invalid?
70,coupons,coupons,Do you have coupon codes?
71,coupons,coupons,How do I apply a coupon?
72,coupons,coupons,Why is my coupon invalid?
73,coupons,coupons,Do you have coupon codes?
74,coupons,coupons,How do I apply a coupon?
75,coupons,coupons,Why is my coupon invalid?
76,coupons,coupons,Do you have coupon codes?
77,coupons,coupons,How do I apply a coupon?
78,coupons,coupons,Why is my coupon invalid?
79,coupons,coupons,Do you have coupon codes?
80,coupons,coupons,How do I apply a coupon?
81,coupons,coupons,Why is my coupon invalid?
82,coupons,coupons,Do you have coupon codes?
83,coupons,coupons,How do I apply a coupon?
84,coupons,coupons,Why is my coupon invalid?
85,coupons,coupons,Do you have coupon codes?
86,coupons,coupons,How do I apply a coupon?
87,coupons,coupons,Why is my coupon invalid?
88,coupons,coupons,Do you have coupon codes?
89,coupons,coupons,How do I apply a coupon?
90,coupons,coupons,Why is my coupon invalid?
91,coupons,coupons,Do you have coupon codes?
92,coupons,coupons,How do I apply a coupon?
93,coupons,coupons,Why is my coupon invalid?
94,coupons,coupons,Do you have coupon codes?
95,coupons,coupons,How do I apply a coupon?
96,coupons,coupons,Why is my coupon invalid?
97,coupons,coupons,Do you have coupon codes?
98,coupons,coupons,How do I apply a coupon?
99,coupons,coupons,Why is my coupon invalid?
100,coupons,coupons,Do you have coupon codes?
