id,category,intent,question
1,product_discovery,product_discovery,Recommend the best phone under ₹10000.
2,product_discovery,product_discovery,Recommend the best laptop under ₹11000.
3,product_discovery,product_discovery,Recommend the best tv under ₹12000.
4,product_discovery,product_discovery,Recommend the best tablet under ₹13000.
5,product_discovery,product_discovery,Recommend the best earbuds under ₹14000.
6,product_discovery,product_discovery,Recommend the best phone under ₹15000.
7,product_discovery,product_discovery,Recommend the best laptop under ₹16000.
8,product_discovery,product_discovery,Recommend the best tv under ₹17000.
9,product_discovery,product_discovery,Recommend the best tablet under ₹18000.
10,product_discovery,product_discovery,Recommend the best earbuds under ₹19000.
11,product_discovery,product_discovery,Recommend the best phone under ₹20000.
12,product_discovery,product_discovery,Recommend the best laptop under ₹21000.
13,product_discovery,product_discovery,Recommend the best tv under ₹22000.
14,product_discovery,product_discovery,Recommend the best tablet under ₹23000.
15,product_discovery,product_discovery,Recommend the best earbuds under ₹24000.
16,product_discovery,product_discovery,Recommend the best phone under ₹25000.
17,product_discovery,product_discovery,Recommend the best laptop under ₹26000.
18,product_discovery,product_discovery,Recommend the best tv under ₹27000.
19,product_discovery,product_discovery,Recommend the best tablet under ₹28000.
20,product_discovery,product_discovery,Recommend the best earbuds under ₹29000.
21,product_discovery,product_discovery,Recommend the best phone under ₹30000.
22,product_discovery,product_discovery,Recommend the best laptop under ₹31000.
23,product_discovery,product_discovery,Recommend the best tv under ₹32000.
24,product_discovery,product_discovery,Recommend the best tablet under ₹33000.
25,product_discovery,product_discovery,Recommend the best earbuds under ₹34000.
26,product_discovery,product_discovery,Recommend the best phone under ₹35000.
27,product_discovery,product_discovery,Recommend the best laptop under ₹36000.
28,product_discovery,product_discovery,Recommend the best tv under ₹37000.
29,product_discovery,product_discovery,Recommend the best tablet under ₹38000.
30,product_discovery,product_discovery,Recommend the best earbuds under ₹39000.
31,product_discovery,product_discovery,Recommend the best phone under ₹40000.
32,product_discovery,product_discovery,Recommend the best laptop under ₹41000.
33,product_discovery,product_discovery,Recommend the best tv under ₹42000.
34,product_discovery,product_discovery,Recommend the best tablet under ₹43000.
35,product_discovery,product_discovery,Recommend the best earbuds under ₹44000.
36,product_discovery,product_discovery,Recommend the best phone under ₹45000.
37,product_discovery,product_discovery,Recommend the best laptop under ₹46000.
38,product_discovery,product_discovery,Recommend the best tv under ₹47000.
39,product_discovery,product_discovery,Recommend the best tablet under ₹48000.
40,product_discovery,product_discovery,Recommend the best earbuds under ₹49000.
41,product_discovery,product_discovery,Recommend the best phone under ₹50000.
42,product_discovery,product_discovery,Recommend the best laptop under ₹51000.
43,product_discovery,product_discovery,Recommend the best tv under ₹52000.
44,product_discovery,product_discovery,Recommend the best tablet under ₹53000.
45,product_discovery,product_discovery,Recommend the best earbuds under ₹54000.
46,product_discovery,product_discovery,Recommend the best phone under ₹55000.
47,product_discovery,product_discovery,Recommend the best laptop under ₹56000.
48,product_discovery,product_discovery,Recommend the best tv under ₹57000.
49,product_discovery,product_discovery,Recommend the best tablet under ₹58000.
50,product_discovery,product_discovery,Recommend the best earbuds under ₹59000.
