id,category,intent,question
1,seller_information,seller_information,Who is the seller?
2,seller_information,seller_information,Is the seller verified?
3,seller_information,seller_information,Seller rating?
4,seller_information,seller_information,Who is the seller?
5,seller_information,seller_information,Is the seller verified?
6,seller_information,seller_information,Seller rating?
7,seller_information,seller_information,Who is the seller?
8,seller_information,seller_information,Is the seller verified?
9,seller_information,seller_information,Seller rating?
10,seller_information,seller_information,Who is the seller?
11,seller_information,seller_information,Is the seller verified?
12,seller_information,seller_information,Seller rating?
13,seller_information,seller_information,Who is the seller?
14,seller_information,seller_information,Is the seller verified?
15,seller_information,seller_information,Seller rating?
16,seller_information,seller_information,Who is the seller?
17,seller_information,seller_information,Is the seller verified?
18,seller_information,seller_information,Seller rating?
19,seller_information,seller_information,Who is the seller?
20,seller_information,seller_information,Is the seller verified?
21,seller_information,seller_information,Seller rating?
22,seller_information,seller_information,Who is the seller?
23,seller_information,seller_information,Is the seller verified?
24,seller_information,seller_information,Seller rating?
25,seller_information,seller_information,Who is the seller?
26,seller_information,seller_information,Is the seller verified?
27,seller_information,seller_information,Seller rating?
28,seller_information,seller_information,Who is the seller?
29,seller_information,seller_information,Is the seller verified?
30,seller_information,seller_information,Seller rating?
31,seller_information,seller_information,Who is the seller?
32,seller_information,seller_information,Is the seller verified?
33,seller_information,seller_information,Seller rating?
34,seller_information,seller_information,Who is the seller?
35,seller_information,seller_information,Is the seller verified?
36,seller_information,seller_information,Seller rating?
37,seller_information,seller_information,Who is the seller?
38,seller_information,seller_information,Is the seller verified?
39,seller_information,seller_information,Seller rating?
40,seller_information,seller_information,Who is the seller?
41,seller_information,seller_information,Is the seller verified?
42,seller_information,seller_information,Seller rating?
43,seller_information,seller_information,Who is the seller?
44,seller_information,seller_information,Is the seller verified?
45,seller_information,seller_information,Seller rating?
46,seller_information,seller_information,Who is the seller?
47,seller_information,seller_information,Is the seller verified?
48,seller_information,seller_information,Seller rating?
49,seller_information,seller_information,Who is the seller?
50,seller_information,seller_information,Is the seller verified?
51,seller_information,seller_information,Seller rating?
52,seller_information,seller_information,Who is the seller?
53,seller_information,seller_information,Is the seller verified?
54,seller_information,seller_information,Seller rating?
55,seller_information,seller_information,Who is the seller?
56,seller_information,seller_information,Is the seller verified?
57,seller_information,seller_information,Seller rating?
58,seller_information,seller_information,Who is the seller?
59,seller_information,seller_information,Is the seller verified?
60,seller_information,seller_information,Seller rating?
61,seller_information,seller_information,Who is the seller?
62,seller_information,seller_information,Is the seller verified?
63,seller_information,seller_information,Seller rating?
64,seller_information,seller_information,Who is the seller?
65,seller_information,seller_information,Is the seller verified?
66,seller_information,seller_information,Seller rating?
67,seller_information,seller_information,Who is the seller?
68,seller_information,seller_information,Is the seller verified?
69,seller_information,seller_information,Seller rating?
70,seller_information,seller_information,Who is the seller?
71,seller_information,seller_information,Is the seller verified?
72,seller_information,seller_information,Seller rating?
73,seller_information,seller_information,Who is the seller?
74,seller_information,seller_information,Is the seller verified?
75,seller_information,seller_information,Seller rating?
76,seller_information,seller_information,Who is the seller?
77,seller_information,seller_information,Is the seller verified?
78,seller_information,seller_information,Seller rating?
79,seller_information,seller_information,Who is the seller?
80,seller_information,seller_information,Is the seller verified?
81,seller_information,seller_information,Seller rating?
82,seller_information,seller_information,Who is the seller?
83,seller_information,seller_information,Is the seller verified?
84,seller_information,seller_information,Seller rating?
85,seller_information,seller_information,Who is the seller?
86,seller_information,seller_information,Is the seller verified?
87,seller_information,seller_information,Seller rating?
88,seller_information,seller_information,Who is the seller?
89,seller_information,seller_information,Is the seller verified?
90,seller_information,seller_information,Seller rating?
91,seller_information,seller_information,Who is the seller?
92,seller_information,seller_information,Is the seller verified?
93,seller_information,seller_information,Seller rating?
94,seller_information,seller_information,Who is the seller?
95,seller_information,seller_information,Is the seller verified?
96,seller_information,seller_information,Seller rating?
97,seller_information,seller_information,Who is the seller?
98,seller_information,seller_information,Is the seller verified?
99,seller_information,seller_information,Seller rating?
100,seller_information,seller_information,Who is the seller?
