id,category,intent,question
1,reviews_ratings,reviews_ratings,How many reviews?
2,reviews_ratings,reviews_ratings,Is this product highly rated?
3,reviews_ratings,reviews_ratings,Show customer feedback.
4,reviews_ratings,reviews_ratings,How many reviews?
5,reviews_ratings,reviews_ratings,Is this product highly rated?
6,reviews_ratings,reviews_ratings,Show customer feedback.
7,reviews_ratings,reviews_ratings,How many reviews?
8,reviews_ratings,reviews_ratings,Is this product highly rated?
9,reviews_ratings,reviews_ratings,Show customer feedback.
10,reviews_ratings,reviews_ratings,How many reviews?
11,reviews_ratings,reviews_ratings,Is this product highly rated?
12,reviews_ratings,reviews_ratings,Show customer feedback.
13,reviews_ratings,reviews_ratings,How many reviews?
14,reviews_ratings,reviews_ratings,Is this product highly rated?
15,reviews_ratings,reviews_ratings,Show customer feedback.
16,reviews_ratings,reviews_ratings,How many reviews?
17,reviews_ratings,reviews_ratings,Is this product highly rated?
18,reviews_ratings,reviews_ratings,Show customer feedback.
19,reviews_ratings,reviews_ratings,How many reviews?
20,reviews_ratings,reviews_ratings,Is this product highly rated?
21,reviews_ratings,reviews_ratings,Show customer feedback.
22,reviews_ratings,reviews_ratings,How many reviews?
23,reviews_ratings,reviews_ratings,Is this product highly rated?
24,reviews_ratings,reviews_ratings,Show customer feedback.
25,reviews_ratings,reviews_ratings,How many reviews?
26,reviews_ratings,reviews_ratings,Is this product highly rated?
27,reviews_ratings,reviews_ratings,Show customer feedback.
28,reviews_ratings,reviews_ratings,How many reviews?
29,reviews_ratings,reviews_ratings,Is this product highly rated?
30,reviews_ratings,reviews_ratings,Show customer feedback.
31,reviews_ratings,reviews_ratings,How many reviews?
32,reviews_ratings,reviews_ratings,Is this product highly rated?
33,reviews_ratings,reviews_ratings,Show customer feedback.
34,reviews_ratings,reviews_ratings,How many reviews?
35,reviews_ratings,reviews_ratings,Is this product highly rated?
36,reviews_ratings,reviews_ratings,Show customer feedback.
37,reviews_ratings,reviews_ratings,How many reviews?
38,reviews_ratings,reviews_ratings,Is this product highly rated?
39,reviews_ratings,reviews_ratings,Show customer feedback.
40,reviews_ratings,reviews_ratings,How many reviews?
41,reviews_ratings,reviews_ratings,Is this product highly rated?
42,reviews_ratings,reviews_ratings,Show customer feedback.
43,reviews_ratings,reviews_ratings,How many reviews?
44,reviews_ratings,reviews_ratings,Is this product highly rated?
45,reviews_ratings,reviews_ratings,Show customer feedback.
46,reviews_ratings,reviews_ratings,How many reviews?
47,reviews_ratings,reviews_ratings,Is this product highly rated?
48,reviews_ratings,reviews_ratings,Show customer feedback.
49,reviews_ratings,reviews_ratings,How many reviews?
50,reviews_ratings,reviews_ratings,Is this product highly rated?
51,reviews_ratings,reviews_ratings,Show customer feedback.
52,reviews_ratings,reviews_ratings,How many reviews?
53,reviews_ratings,reviews_ratings,Is this product highly rated?
54,reviews_ratings,reviews_ratings,Show customer feedback.
55,reviews_ratings,reviews_ratings,How many reviews?
56,reviews_ratings,reviews_ratings,Is this product highly rated?
57,reviews_ratings,reviews_ratings,Show customer feedback.
58,reviews_ratings,reviews_ratings,How many reviews?
59,reviews_ratings,reviews_ratings,Is this product highly rated?
60,reviews_ratings,reviews_ratings,Show customer feedback.
61,reviews_ratings,reviews_ratings,How many reviews?
62,reviews_ratings,reviews_ratings,Is this product highly rated?
63,reviews_ratings,reviews_ratings,Show customer feedback.
64,reviews_ratings,reviews_ratings,How many reviews?
65,reviews_ratings,reviews_ratings,Is this product highly rated?
66,reviews_ratings,reviews_ratings,Show customer feedback.
67,reviews_ratings,reviews_ratings,How many reviews?
68,reviews_ratings,reviews_ratings,Is this product highly rated?
69,reviews_ratings,reviews_ratings,Show customer feedback.
70,reviews_ratings,reviews_ratings,How many reviews?
71,reviews_ratings,reviews_ratings,Is this product highly rated?
72,reviews_ratings,reviews_ratings,Show customer feedback.
73,reviews_ratings,reviews_ratings,How many reviews?
74,reviews_ratings,reviews_ratings,Is this product highly rated?
75,reviews_ratings,reviews_ratings,Show customer feedback.
76,reviews_ratings,reviews_ratings,How many reviews?
77,reviews_ratings,reviews_ratings,Is this product highly rated?
78,reviews_ratings,reviews_ratings,Show customer feedback.
79,reviews_ratings,reviews_ratings,How many reviews?
80,reviews_ratings,reviews_ratings,Is this product highly rated?
81,reviews_ratings,reviews_ratings,Show customer feedback.
82,reviews_ratings,reviews_ratings,How many reviews?
83,reviews_ratings,reviews_ratings,Is this product highly rated?
84,reviews_ratings,reviews_ratings,Show customer feedback.
85,reviews_ratings,reviews_ratings,How many reviews?
86,reviews_ratings,reviews_ratings,Is this product highly rated?
87,reviews_ratings,reviews_ratings,Show customer feedback.
88,reviews_ratings,reviews_ratings,How many reviews?
89,reviews_ratings,reviews_ratings,Is this product highly rated?
90,reviews_ratings,reviews_ratings,Show customer feedback.
91,reviews_ratings,reviews_ratings,How many reviews?
92,reviews_ratings,reviews_ratings,Is this product highly rated?
93,reviews_ratings,reviews_ratings,Show customer feedback.
94,reviews_ratings,reviews_ratings,How many reviews?
95,reviews_ratings,reviews_ratings,Is this product highly rated?
96,reviews_ratings,reviews_ratings,Show customer feedback.
97,reviews_ratings,reviews_ratings,How many reviews?
98,reviews_ratings,reviews_ratings,Is this product highly rated?
99,reviews_ratings,reviews_ratings,Show customer feedback.
100,reviews_ratings,reviews_ratings,How many reviews?
