id,category,intent,question
1,wishlist_cart,wishlist_cart,How do I add to wishlist?
2,wishlist_cart,wishlist_cart,Why can't I add to cart?
3,wishlist_cart,wishlist_cart,Can I save items for later?
4,wishlist_cart,wishlist_cart,How do I add to wishlist?
5,wishlist_cart,wishlist_cart,Why can't I add to cart?
6,wishlist_cart,wishlist_cart,Can I save items for later?
7,wishlist_cart,wishlist_cart,How do I add to wishlist?
8,wishlist_cart,wishlist_cart,Why can't I add to cart?
9,wishlist_cart,wishlist_cart,Can I save items for later?
10,wishlist_cart,wishlist_cart,How do I add to wishlist?
11,wishlist_cart,wishlist_cart,Why can't I add to cart?
12,wishlist_cart,wishlist_cart,Can I save items for later?
13,wishlist_cart,wishlist_cart,How do I add to wishlist?
14,wishlist_cart,wishlist_cart,Why can't I add to cart?
15,wishlist_cart,wishlist_cart,Can I save items for later?
16,wishlist_cart,wishlist_cart,How do I add to wishlist?
17,wishlist_cart,wishlist_cart,Why can't I add to cart?
18,wishlist_cart,wishlist_cart,Can I save items for later?
19,wishlist_cart,wishlist_cart,How do I add to wishlist?
20,wishlist_cart,wishlist_cart,Why can't I add to cart?
21,wishlist_cart,wishlist_cart,Can I save items for later?
22,wishlist_cart,wishlist_cart,How do I add to wishlist?
23,wishlist_cart,wishlist_cart,Why can't I add to cart?
24,wishlist_cart,wishlist_cart,Can I save items for later?
25,wishlist_cart,wishlist_cart,How do I add to wishlist?
26,wishlist_cart,wishlist_cart,Why can't I add to cart?
27,wishlist_cart,wishlist_cart,Can I save items for later?
28,wishlist_cart,wishlist_cart,How do I add to wishlist?
29,wishlist_cart,wishlist_cart,Why can't I add to cart?
30,wishlist_cart,wishlist_cart,Can I save items for later?
31,wishlist_cart,wishlist_cart,How do I add to wishlist?
32,wishlist_cart,wishlist_cart,Why can't I add to cart?
33,wishlist_cart,wishlist_cart,Can I save items for later?
34,wishlist_cart,wishlist_cart,How do I add to wishlist?
35,wishlist_cart,wishlist_cart,Why can't I add to cart?
36,wishlist_cart,wishlist_cart,Can I save items for later?
37,wishlist_cart,wishlist_cart,How do I add to wishlist?
38,wishlist_cart,wishlist_cart,Why can't I add to cart?
39,wishlist_cart,wishlist_cart,Can I save items for later?
40,wishlist_cart,wishlist_cart,How do I add to wishlist?
41,wishlist_cart,wishlist_cart,Why can't I add to cart?
42,wishlist_cart,wishlist_cart,Can I save items for later?
43,wishlist_cart,wishlist_cart,How do I add to wishlist?
44,wishlist_cart,wishlist_cart,Why can't I add to cart?
45,wishlist_cart,wishlist_cart,Can I save items for later?
46,wishlist_cart,wishlist_cart,How do I add to wishlist?
47,wishlist_cart,wishlist_cart,Why can't I add to cart?
48,wishlist_cart,wishlist_cart,Can I save items for later?
49,wishlist_cart,wishlist_cart,How do I add to wishlist?
50,wishlist_cart,wishlist_cart,Why can't I add to cart?
51,wishlist_cart,wishlist_cart,Can I save items for later?
52,wishlist_cart,wishlist_cart,How do I add to wishlist?
53,wishlist_cart,wishlist_cart,Why can't I add to cart?
54,wishlist_cart,wishlist_cart,Can I save items for later?
55,wishlist_cart,wishlist_cart,How do I add to wishlist?
56,wishlist_cart,wishlist_cart,Why can't I add to cart?
57,wishlist_cart,wishlist_cart,Can I save items for later?
58,wishlist_cart,wishlist_cart,How do I add to wishlist?
59,wishlist_cart,wishlist_cart,Why can't I add to cart?
60,wishlist_cart,wishlist_cart,Can I save items for later?
61,wishlist_cart,wishlist_cart,How do I add to wishlist?
62,wishlist_cart,wishlist_cart,Why can't I add to cart?
63,wishlist_cart,wishlist_cart,Can I save items for later?
64,wishlist_cart,wishlist_cart,How do I add to wishlist?
65,wishlist_cart,wishlist_cart,Why can't I add to cart?
66,wishlist_cart,wishlist_cart,Can I save items for later?
67,wishlist_cart,wishlist_cart,How do I add to wishlist?
68,wishlist_cart,wishlist_cart,Why can't I add to cart?
69,wishlist_cart,wishlist_cart,Can I save items for later?
70,wishlist_cart,wishlist_cart,How do I add to wishlist?
71,wishlist_cart,wishlist_cart,Why can't I add to cart?
72,wishlist_cart,wishlist_cart,Can I save items for later?
73,wishlist_cart,wishlist_cart,How do I add to wishlist?
74,wishlist_cart,wishlist_cart,Why can't I add to cart?
75,wishlist_cart,wishlist_cart,Can I save items for later?
76,wishlist_cart,wishlist_cart,How do I add to wishlist?
77,wishlist_cart,wishlist_cart,Why can't I add to cart?
78,wishlist_cart,wishlist_cart,Can I save items for later?
79,wishlist_cart,wishlist_cart,How do I add to wishlist?
80,wishlist_cart,wishlist_cart,Why can't I add to cart?
81,wishlist_cart,wishlist_cart,Can I save items for later?
82,wishlist_cart,wishlist_cart,How do I add to wishlist?
83,wishlist_cart,wishlist_cart,Why can't I add to cart?
84,wishlist_cart,wishlist_cart,Can I save items for later?
85,wishlist_cart,wishlist_cart,How do I add to wishlist?
86,wishlist_cart,wishlist_cart,Why can't I add to cart?
87,wishlist_cart,wishlist_cart,Can I save items for later?
