id,category,intent,question
1,replacement_policy,replacement_policy,Can I replace a defective item?
2,replacement_policy,replacement_policy,Replacement window?
3,replacement_policy,replacement_policy,Replacement eligibility?
4,replacement_policy,replacement_policy,Can I replace a defective item?
5,replacement_policy,replacement_policy,Replacement window?
6,replacement_policy,replacement_policy,Replacement eligibility?
7,replacement_policy,replacement_policy,Can I replace a defective item?
8,replacement_policy,replacement_policy,Replacement window?
9,replacement_policy,replacement_policy,Replacement eligibility?
10,replacement_policy,replacement_policy,Can I replace a defective item?
11,replacement_policy,replacement_policy,Replacement window?
12,replacement_policy,replacement_policy,Replacement eligibility?
13,replacement_policy,replacement_policy,Can I replace a defective item?
14,replacement_policy,replacement_policy,Replacement window?
15,replacement_policy,replacement_policy,Replacement eligibility?
16,replacement_policy,replacement_policy,Can I replace a defective item?
17,replacement_policy,replacement_policy,Replacement window?
18,replacement_policy,replacement_policy,Replacement eligibility?
19,replacement_policy,replacement_policy,Can I replace a defective item?
20,replacement_policy,replacement_policy,Replacement window?
21,replacement_policy,replacement_policy,Replacement eligibility?
22,replacement_policy,replacement_policy,Can I replace a defective item?
23,replacement_policy,replacement_policy,Replacement window?
24,replacement_policy,replacement_policy,Replacement eligibility?
25,replacement_policy,replacement_policy,Can I replace a defective item?
26,replacement_policy,replacement_policy,Replacement window?
27,replacement_policy,replacement_policy,Replacement eligibility?
28,replacement_policy,replacement_policy,Can I replace a defective item?
29,replacement_policy,replacement_policy,Replacement window?
30,replacement_policy,replacement_policy,Replacement eligibility?
31,replacement_policy,replacement_policy,Can I replace a defective item?
32,replacement_policy,replacement_policy,Replacement window?
33,replacement_policy,replacement_policy,Replacement eligibility?
34,replacement_policy,replacement_policy,Can I replace a defective item?
35,replacement_policy,replacement_policy,Replacement window?
36,replacement_policy,replacement_policy,Replacement eligibility?
37,replacement_policy,replacement_policy,Can I replace a defective item?
38,replacement_policy,replacement_policy,Replacement window?
39,replacement_policy,replacement_policy,Replacement eligibility?
40,replacement_policy,replacement_policy,Can I replace a defective item?
41,replacement_policy,replacement_policy,Replacement window?
42,replacement_policy,replacement_policy,Replacement eligibility?
43,replacement_policy,replacement_policy,Can I replace a defective item?
44,replacement_policy,replacement_policy,Replacement window?
45,replacement_policy,replacement_policy,Replacement eligibility?
46,replacement_policy,replacement_policy,Can I replace a defective item?
47,replacement_policy,replacement_policy,Replacement window?
48,replacement_policy,replacement_policy,Replacement eligibility?
49,replacement_policy,replacement_policy,Can I replace a defective item?
50,replacement_policy,replacement_policy,Replacement window?
51,replacement_policy,replacement_policy,Replacement eligibility?
52,replacement_policy,replacement_policy,Can I replace a defective item?
53,replacement_policy,replacement_policy,Replacement window?
54,replacement_policy,replacement_policy,Replacement eligibility?
55,replacement_policy,replacement_policy,Can I replace a defective item?
56,replacement_policy,replacement_policy,Replacement window?
57,replacement_policy,replacement_policy,Replacement eligibility?
58,replacement_policy,replacement_policy,Can I replace a defective item?
59,replacement_policy,replacement_policy,Replacement window?
60,replacement_policy,replacement_policy,Replacement eligibility?
61,replacement_policy,replacement_policy,Can I replace a defective item?
62,replacement_policy,replacement_policy,Replacement window?
63,replacement_policy,replacement_policy,Replacement eligibility?
64,replacement_policy,replacement_policy,Can I replace a defective item?
65,replacement_policy,replacement_policy,Replacement window?
66,replacement_policy,replacement_policy,Replacement eligibility?
67,replacement_policy,replacement_policy,Can I replace a defective item?
68,replacement_policy,replacement_policy,Replacement window?
69,replacement_policy,replacement_policy,Replacement eligibility?
70,replacement_policy,replacement_policy,Can I replace a defective item?
71,replacement_policy,replacement_policy,Replacement window?
72,replacement_policy,replacement_policy,Replacement eligibility?
73,replacement_policy,replacement_policy,Can I replace a defective item?
74,replacement_policy,replacement_policy,Replacement window?
75,replacement_policy,replacement_policy,Replacement eligibility?
76,replacement_policy,replacement_policy,Can I replace a defective item?
77,replacement_policy,replacement_policy,Replacement window?
78,replacement_policy,replacement_policy,Replacement eligibility?
79,replacement_policy,replacement_policy,Can I replace a defective item?
80,replacement_policy,replacement_policy,Replacement window?
81,replacement_policy,replacement_policy,Replacement eligibility?
82,replacement_policy,replacement_policy,Can I replace a defective item?
83,replacement_policy,replacement_policy,Replacement window?
84,replacement_policy,replacement_policy,Replacement eligibility?
85,replacement_policy,replacement_policy,Can I replace a defective item?
86,replacement_policy,replacement_policy,Replacement window?
87,replacement_policy,replacement_policy,Replacement eligibility?
88,replacement_policy,replacement_policy,Can I replace a defective item?
89,replacement_policy,replacement_policy,Replacement window?
90,replacement_policy,replacement_policy,Replacement eligibility?
91,replacement_policy,replacement_policy,Can I replace a defective item?
92,replacement_policy,replacement_policy,Replacement window?
93,replacement_policy,replacement_policy,Replacement eligibility?
94,replacement_policy,replacement_policy,Can I replace a defective item?
95,replacement_policy,replacement_policy,Replacement window?
96,replacement_policy,replacement_policy,Replacement eligibility?
97,replacement_policy,replacement_policy,Can I replace a defective item?
98,replacement_policy,replacement_policy,Replacement window?
99,replacement_policy,replacement_policy,Replacement eligibility?
100,replacement_policy,replacement_policy,Can I replace a defective item?
