id,category,intent,question
1,accessories,accessories,What accessories are available for iPhone 17 bundle option 1?
2,accessories,accessories,What accessories are available for Samsung Galaxy S25 bundle option 2?
3,accessories,accessories,What accessories are available for OnePlus 15 bundle option 3?
4,accessories,accessories,What accessories are available for Dell Inspiron bundle option 4?
5,accessories,accessories,What accessories are available for HP Pavilion bundle option 5?
6,accessories,accessories,What accessories are available for Sony Bravia bundle option 6?
7,accessories,accessories,What accessories are available for LG Refrigerator bundle option 7?
8,accessories,accessories,What accessories are available for Canon R50 bundle option 8?
9,accessories,accessories,What accessories are available for boAt Airdopes bundle option 9?
10,accessories,accessories,What accessories are available for ASUS ROG bundle option 10?
11,accessories,accessories,What accessories are available for iPhone 17 bundle option 11?
12,accessories,accessories,What accessories are available for Samsung Galaxy S25 bundle option 12?
13,accessories,accessories,What accessories are available for OnePlus 15 bundle option 13?
14,accessories,accessories,What accessories are available for Dell Inspiron bundle option 14?
15,accessories,accessories,What accessories are available for HP Pavilion bundle option 15?
16,accessories,accessories,What accessories are available for Sony Bravia bundle option 16?
17,accessories,accessories,What accessories are available for LG Refrigerator bundle option 17?
18,accessories,accessories,What accessories are available for Canon R50 bundle option 18?
19,accessories,accessories,What accessories are available for boAt Airdopes bundle option 19?
20,accessories,accessories,What accessories are available for ASUS ROG bundle option 20?
21,accessories,accessories,What accessories are available for iPhone 17 bundle option 21?
22,accessories,accessories,What accessories are available for Samsung Galaxy S25 bundle option 22?
23,accessories,accessories,What accessories are available for OnePlus 15 bundle option 23?
24,accessories,accessories,What accessories are available for Dell Inspiron bundle option 24?
25,accessories,accessories,What accessories are available for HP Pavilion bundle option 25?
26,accessories,accessories,What accessories are available for Sony Bravia bundle option 26?
27,accessories,accessories,What accessories are available for LG Refrigerator bundle option 27?
28,accessories,accessories,What accessories are available for Canon R50 bundle option 28?
29,accessories,accessories,What accessories are available for boAt Airdopes bundle option 29?
30,accessories,accessories,What accessories are available for ASUS ROG bundle option 30?
31,accessories,accessories,What accessories are available for iPhone 17 bundle option 31?
32,accessories,accessories,What accessories are available for Samsung Galaxy S25 bundle option 32?
33,accessories,accessories,What accessories are available for OnePlus 15 bundle option 33?
34,accessories,accessories,What accessories are available for Dell Inspiron bundle option 34?
35,accessories,accessories,What accessories are available for HP Pavilion bundle option 35?
36,accessories,accessories,What accessories are available for Sony Bravia bundle option 36?
37,accessories,accessories,What accessories are available for LG Refrigerator bundle option 37?
38,accessories,accessories,What accessories are available for Canon R50 bundle option 38?
39,accessories,accessories,What accessories are available for boAt Airdopes bundle option 39?
40,accessories,accessories,What accessories are available for ASUS ROG bundle option 40?
41,accessories,accessories,What accessories are available for iPhone 17 bundle option 41?
42,accessories,accessories,What accessories are available for Samsung Galaxy S25 bundle option 42?
43,accessories,accessories,What accessories are available for OnePlus 15 bundle option 43?
44,accessories,accessories,What accessories are available for Dell Inspiron bundle option 44?
45,accessories,accessories,What accessories are available for HP Pavilion bundle option 45?
46,accessories,accessories,What accessories are available for Sony Bravia bundle option 46?
47,accessories,accessories,What accessories are available for LG Refrigerator bundle option 47?
48,accessories,accessories,What accessories are available for Canon R50 bundle option 48?
49,accessories,accessories,What accessories are available for boAt Airdopes bundle option 49?
50,accessories,accessories,What accessories are available for ASUS ROG bundle option 50?
