id,category,intent,question
1,product_availability,product_availability,Is iPhone 17 in stock?
2,product_availability,product_availability,When will Samsung Galaxy S25 be available?
3,product_availability,product_availability,Is OnePlus 15 available in black?
4,product_availability,product_availability,Is Dell Inspiron in stock?
5,product_availability,product_availability,When will Sony Bravia be available?
6,product_availability,product_availability,Is boAt Airdopes available in black?
7,product_availability,product_availability,Is iPhone 17 in stock?
8,product_availability,product_availability,When will Samsung Galaxy S25 be available?
9,product_availability,product_availability,Is OnePlus 15 available in black?
10,product_availability,product_availability,Is Dell Inspiron in stock?
11,product_availability,product_availability,When will Sony Bravia be available?
12,product_availability,product_availability,Is boAt Airdopes available in black?
13,product_availability,product_availability,Is iPhone 17 in stock?
14,product_availability,product_availability,When will Samsung Galaxy S25 be available?
15,product_availability,product_availability,Is OnePlus 15 available in black?
16,product_availability,product_availability,Is Dell Inspiron in stock?
17,product_availability,product_availability,When will Sony Bravia be available?
18,product_availability,product_availability,Is boAt Airdopes available in black?
19,product_availability,product_availability,Is iPhone 17 in stock?
20,product_availability,product_availability,When will Samsung Galaxy S25 be available?
21,product_availability,product_availability,Is OnePlus 15 available in black?
22,product_availability,product_availability,Is Dell Inspiron in stock?
23,product_availability,product_availability,When will Sony Bravia be available?
24,product_availability,product_availability,Is boAt Airdopes available in black?
25,product_availability,product_availability,Is iPhone 17 in stock?
26,product_availability,product_availability,When will Samsung Galaxy S25 be available?
27,product_availability,product_availability,Is OnePlus 15 available in black?
28,product_availability,product_availability,Is Dell Inspiron in stock?
29,product_availability,product_availability,When will Sony Bravia be available?
30,product_availability,product_availability,Is boAt Airdopes available in black?
31,product_availability,product_availability,Is iPhone 17 in stock?
32,product_availability,product_availability,When will Samsung Galaxy S25 be available?
33,product_availability,product_availability,Is OnePlus 15 available in black?
34,product_availability,product_availability,Is Dell Inspiron in stock?
35,product_availability,product_availability,When will Sony Bravia be available?
36,product_availability,product_availability,Is boAt Airdopes available in black?
37,product_availability,product_availability,Is iPhone 17 in stock?
38,product_availability,product_availability,When will Samsung Galaxy S25 be available?
39,product_availability,product_availability,Is OnePlus 15 available in black?
40,product_availability,product_availability,Is Dell Inspiron in stock?
41,product_availability,product_availability,When will Sony Bravia be available?
42,product_availability,product_availability,Is boAt Airdopes available in black?
43,product_availability,product_availability,Is iPhone 17 in stock?
44,product_availability,product_availability,When will Samsung Galaxy S25 be available?
45,product_availability,product_availability,Is OnePlus 15 available in black?
46,product_availability,product_availability,Is Dell Inspiron in stock?
47,product_availability,product_availability,When will Sony Bravia be available?
48,product_availability,product_availability,Is boAt Airdopes available in black?
49,product_availability,product_availability,Is iPhone 17 in stock?
50,product_availability,product_availability,When will Samsung Galaxy S25 be available?
51,product_availability,product_availability,Is OnePlus 15 available in black?
52,product_availability,product_availability,Is Dell Inspiron in stock?
53,product_availability,product_availability,When will Sony Bravia be available?
54,product_availability,product_availability,Is boAt Airdopes available in black?
55,product_availability,product_availability,Is iPhone 17 in stock?
56,product_availability,product_availability,When will Samsung Galaxy S25 be available?
57,product_availability,product_availability,Is OnePlus 15 available in black?
58,product_availability,product_availability,Is Dell Inspiron in stock?
59,product_availability,product_availability,When will Sony Bravia be available?
60,product_availability,product_availability,Is boAt Airdopes available in black?
61,product_availability,product_availability,Is iPhone 17 in stock?
62,product_availability,product_availability,When will Samsung Galaxy S25 be available?
63,product_availability,product_availability,Is OnePlus 15 available in black?
64,product_availability,product_availability,Is Dell Inspiron in stock?
65,product_availability,product_availability,When will Sony Bravia be available?
66,product_availability,product_availability,Is boAt Airdopes available in black?
67,product_availability,product_availability,Is iPhone 17 in stock?
68,product_availability,product_availability,When will Samsung Galaxy S25 be available?
69,product_availability,product_availability,Is OnePlus 15 available in black?
70,product_availability,product_availability,Is Dell Inspiron in stock?
71,product_availability,product_availability,When will Sony Bravia be available?
72,product_availability,product_availability,Is boAt Airdopes available in black?
73,product_availability,product_availability,Is iPhone 17 in stock?
74,product_availability,product_availability,When will Samsung Galaxy S25 be available?
75,product_availability,product_availability,Is OnePlus 15 available in black?
76,product_availability,product_availability,Is Dell Inspiron in stock?
77,product_availability,product_availability,When will Sony Bravia be available?
78,product_availability,product_availability,Is boAt Airdopes available in black?
79,product_availability,product_availability,Is iPhone 17 in stock?
80,product_availability,product_availability,When will Samsung Galaxy S25 be available?
81,product_availability,product_availability,Is OnePlus 15 available in black?
82,product_availability,product_availability,Is Dell Inspiron in stock?
83,product_availability,product_availability,When will Sony Bravia be available?
84,product_availability,product_availability,Is boAt Airdopes available in black?
85,product_availability,product_availability,Is iPhone 17 in stock?
86,product_availability,product_availability,When will Samsung Galaxy S25 be available?
87,product_availability,product_availability,Is OnePlus 15 available in black?
88,product_availability,product_availability,Is Dell Inspiron in stock?
89,product_availability,product_availability,When will Sony Bravia be available?
90,product_availability,product_availability,Is boAt Airdopes available in black?
91,product_availability,product_availability,Is iPhone 17 in stock?
92,product_availability,product_availability,When will Samsung Galaxy S25 be available?
93,product_availability,product_availability,Is OnePlus 15 available in black?
94,product_availability,product_availability,Is Dell Inspiron in stock?
95,product_availability,product_availability,When will Sony Bravia be available?
96,product_availability,product_availability,Is boAt Airdopes available in black?
97,product_availability,product_availability,Is iPhone 17 in stock?
98,product_availability,product_availability,When will Samsung Galaxy S25 be available?
99,product_availability,product_availability,Is OnePlus 15 available in black?
100,product_availability,product_availability,Is Dell Inspiron in stock?
