id,category,intent,question
1,discounts_offers,discounts_offers,What offers are running today?
2,discounts_offers,discounts_offers,Any festival discounts?
3,discounts_offers,discounts_offers,Do you have bank offers?
4,discounts_offers,discounts_offers,What offers are running today?
5,discounts_offers,discounts_offers,Any festival discounts?
6,discounts_offers,discounts_offers,Do you have bank offers?
7,discounts_offers,discounts_offers,What offers are running today?
8,discounts_offers,discounts_offers,Any festival discounts?
9,discounts_offers,discounts_offers,Do you have bank offers?
10,discounts_offers,discounts_offers,What offers are running today?
11,discounts_offers,discounts_offers,Any festival discounts?
12,discounts_offers,discounts_offers,Do you have bank offers?
13,discounts_offers,discounts_offers,What offers are running today?
14,discounts_offers,discounts_offers,Any festival discounts?
15,discounts_offers,discounts_offers,Do you have bank offers?
16,discounts_offers,discounts_offers,What offers are running today?
17,discounts_offers,discounts_offers,Any festival discounts?
18,discounts_offers,discounts_offers,Do you have bank offers?
19,discounts_offers,discounts_offers,What offers are running today?
20,discounts_offers,discounts_offers,Any festival discounts?
21,discounts_offers,discounts_offers,Do you have bank offers?
22,discounts_offers,discounts_offers,What offers are running today?
23,discounts_offers,discounts_offers,Any festival discounts?
24,discounts_offers,discounts_offers,Do you have bank offers?
25,discounts_offers,discounts_offers,What offers are running today?
26,discounts_offers,discounts_offers,Any festival discounts?
27,discounts_offers,discounts_offers,Do you have bank offers?
28,discounts_offers,discounts_offers,What offers are running today?
29,discounts_offers,discounts_offers,Any festival discounts?
30,discounts_offers,discounts_offers,Do you have bank offers?
31,discounts_offers,discounts_offers,What offers are running today?
32,discounts_offers,discounts_offers,Any festival discounts?
33,discounts_offers,discounts_offers,Do you have bank offers?
34,discounts_offers,discounts_offers,What offers are running today?
35,discounts_offers,discounts_offers,Any festival discounts?
36,discounts_offers,discounts_offers,Do you have bank offers?
37,discounts_offers,discounts_offers,What offers are running today?
38,discounts_offers,discounts_offers,Any festival discounts?
39,discounts_offers,discounts_offers,Do you have bank offers?
40,discounts_offers,discounts_offers,What offers are running today?
41,discounts_offers,discounts_offers,Any festival discounts?
42,discounts_offers,discounts_offers,Do you have bank offers?
43,discounts_offers,discounts_offers,What offers are running today?
44,discounts_offers,discounts_offers,Any festival discounts?
45,discounts_offers,discounts_offers,Do you have bank offers?
46,discounts_offers,discounts_offers,What offers are running today?
47,discounts_offers,discounts_offers,Any festival discounts?
48,discounts_offers,discounts_offers,Do you have bank offers?
49,discounts_offers,discounts_offers,What offers are running today?
50,discounts_offers,discounts_offers,Any festival discounts?
51,discounts_offers,discounts_offers,Do you have bank offers?
52,discounts_offers,discounts_offers,What offers are running today?
53,discounts_offers,discounts_offers,Any festival discounts?
54,discounts_offers,discounts_offers,Do you have bank offers?
55,discounts_offers,discounts_offers,What offers are running today?
56,discounts_offers,discounts_offers,Any festival discounts?
57,discounts_offers,discounts_offers,Do you have bank offers?
58,discounts_offers,discounts_offers,What offers are running today?
59,discounts_offers,discounts_offers,Any festival discounts?
60,discounts_offers,discounts_offers,Do you have bank offers?
61,discounts_offers,discounts_offers,What offers are running today?
62,discounts_offers,discounts_offers,Any festival discounts?
63,discounts_offers,discounts_offers,Do you have bank offers?
64,discounts_offers,discounts_offers,What offers are running today?
65,discounts_offers,discounts_offers,Any festival discounts?
66,discounts_offers,discounts_offers,Do you have bank offers?
67,discounts_offers,discounts_offers,What offers are running today?
68,discounts_offers,discounts_offers,Any festival discounts?
69,discounts_offers,discounts_offers,Do you have bank offers?
70,discounts_offers,discounts_offers,What offers are running today?
71,discounts_offers,discounts_offers,Any festival discounts?
72,discounts_offers,discounts_offers,Do you have bank offers?
73,discounts_offers,discounts_offers,What offers are running today?
74,discounts_offers,discounts_offers,Any festival discounts?
75,discounts_offers,discounts_offers,Do you have bank offers?
76,discounts_offers,discounts_offers,What offers are running today?
77,discounts_offers,discounts_offers,Any festival discounts?
78,discounts_offers,discounts_offers,Do you have bank offers?
79,discounts_offers,discounts_offers,What offers are running today?
80,discounts_offers,discounts_offers,Any festival discounts?
81,discounts_offers,discounts_offers,Do you have bank offers?
82,discounts_offers,discounts_offers,What offers are running today?
83,discounts_offers,discounts_offers,Any festival discounts?
84,discounts_offers,discounts_offers,Do you have bank offers?
85,discounts_offers,discounts_offers,What offers are running today?
86,discounts_offers,discounts_offers,Any festival discounts?
87,discounts_offers,discounts_offers,Do you have bank offers?
88,discounts_offers,discounts_offers,What offers are running today?
89,discounts_offers,discounts_offers,Any festival discounts?
90,discounts_offers,discounts_offers,Do you have bank offers?
91,discounts_offers,discounts_offers,What offers are running today?
92,discounts_offers,discounts_offers,Any festival discounts?
93,discounts_offers,discounts_offers,Do you have bank offers?
94,discounts_offers,discounts_offers,What offers are running today?
95,discounts_offers,discounts_offers,Any festival discounts?
96,discounts_offers,discounts_offers,Do you have bank offers?
97,discounts_offers,discounts_offers,What offers are running today?
98,discounts_offers,discounts_offers,Any festival discounts?
99,discounts_offers,discounts_offers,Do you have bank offers?
100,discounts_offers,discounts_offers,What offers are running today?
