id,category,intent,question
1,compatibility,compatibility,Is this compatible with Windows 11?
2,compatibility,compatibility,Will it work with iPhone?
3,compatibility,compatibility,Supports Bluetooth 5.3?
4,compatibility,compatibility,Is this compatible with Windows 11?
5,compatibility,compatibility,Will it work with iPhone?
6,compatibility,compatibility,Supports Bluetooth 5.3?
7,compatibility,compatibility,Is this compatible with Windows 11?
8,compatibility,compatibility,Will it work with iPhone?
9,compatibility,compatibility,Supports Bluetooth 5.3?
10,compatibility,compatibility,Is this compatible with Windows 11?
11,compatibility,compatibility,Will it work with iPhone?
12,compatibility,compatibility,Supports Bluetooth 5.3?
13,compatibility,compatibility,Is this compatible with Windows 11?
14,compatibility,compatibility,Will it work with iPhone?
15,compatibility,compatibility,Supports Bluetooth 5.3?
16,compatibility,compatibility,Is this compatible with Windows 11?
17,compatibility,compatibility,Will it work with iPhone?
18,compatibility,compatibility,Supports Bluetooth 5.3?
19,compatibility,compatibility,Is this compatible with Windows 11?
20,compatibility,compatibility,Will it work with iPhone?
21,compatibility,compatibility,Supports Bluetooth 5.3?
22,compatibility,compatibility,Is this compatible with Windows 11?
23,compatibility,compatibility,Will it work with iPhone?
24,compatibility,compatibility,Supports Bluetooth 5.3?
25,compatibility,compatibility,Is this compatible with Windows 11?
26,compatibility,compatibility,Will it work with iPhone?
27,compatibility,compatibility,Supports Bluetooth 5.3?
28,compatibility,compatibility,Is this compatible with Windows 11?
29,compatibility,compatibility,Will it work with iPhone?
30,compatibility,compatibility,Supports Bluetooth 5.3?
31,compatibility,compatibility,Is this compatible with Windows 11?
32,compatibility,compatibility,Will it work with iPhone?
33,compatibility,compatibility,Supports Bluetooth 5.3?
34,compatibility,compatibility,Is this compatible with Windows 11?
35,compatibility,compatibility,Will it work with iPhone?
36,compatibility,compatibility,Supports Bluetooth 5.3?
37,compatibility,compatibility,Is this compatible with Windows 11?
38,compatibility,compatibility,Will it work with iPhone?
39,compatibility,compatibility,Supports Bluetooth 5.3?
40,compatibility,compatibility,Is this compatible with Windows 11?
41,compatibility,compatibility,Will it work with iPhone?
42,compatibility,compatibility,Supports Bluetooth 5.3?
43,compatibility,compatibility,Is this compatible with Windows 11?
44,compatibility,compatibility,Will it work with iPhone?
45,compatibility,compatibility,Supports Bluetooth 5.3?
46,compatibility,compatibility,Is this compatible with Windows 11?
47,compatibility,compatibility,Will it work with iPhone?
48,compatibility,compatibility,Supports Bluetooth 5.3?
49,compatibility,compatibility,Is this compatible with Windows 11?
50,compatibility,compatibility,Will it work with iPhone?
51,compatibility,compatibility,Supports Bluetooth 5.3?
52,compatibility,compatibility,Is this compatible with Windows 11?
53,compatibility,compatibility,Will it work with iPhone?
54,compatibility,compatibility,Supports Bluetooth 5.3?
55,compatibility,compatibility,Is this compatible with Windows 11?
56,compatibility,compatibility,Will it work with iPhone?
57,compatibility,compatibility,Supports Bluetooth 5.3?
58,compatibility,compatibility,Is this compatible with Windows 11?
59,compatibility,compatibility,Will it work with iPhone?
60,compatibility,compatibility,Supports Bluetooth 5.3?
61,compatibility,compatibility,Is this compatible with Windows 11?
62,compatibility,compatibility,Will it work with iPhone?
63,compatibility,compatibility,Supports Bluetooth 5.3?
64,compatibility,compatibility,Is this compatible with Windows 11?
65,compatibility,compatibility,Will it work with iPhone?
66,compatibility,compatibility,Supports Bluetooth 5.3?
67,compatibility,compatibility,Is this compatible with Windows 11?
68,compatibility,compatibility,Will it work with iPhone?
69,compatibility,compatibility,Supports Bluetooth 5.3?
70,compatibility,compatibility,Is this compatible with Windows 11?
71,compatibility,compatibility,Will it work with iPhone?
72,compatibility,compatibility,Supports Bluetooth 5.3?
73,compatibility,compatibility,Is this compatible with Windows 11?
74,compatibility,compatibility,Will it work with iPhone?
75,compatibility,compatibility,Supports Bluetooth 5.3?
76,compatibility,compatibility,Is this compatible with Windows 11?
77,compatibility,compatibility,Will it work with iPhone?
78,compatibility,compatibility,Supports Bluetooth 5.3?
79,compatibility,compatibility,Is this compatible with Windows 11?
80,compatibility,compatibility,Will it work with iPhone?
81,compatibility,compatibility,Supports Bluetooth 5.3?
82,compatibility,compatibility,Is this compatible with Windows 11?
83,compatibility,compatibility,Will it work with iPhone?
84,compatibility,compatibility,Supports Bluetooth 5.3?
85,compatibility,compatibility,Is this compatible with Windows 11?
86,compatibility,compatibility,Will it work with iPhone?
87,compatibility,compatibility,Supports Bluetooth 5.3?
88,compatibility,compatibility,Is this compatible with Windows 11?
89,compatibility,compatibility,Will it work with iPhone?
90,compatibility,compatibility,Supports Bluetooth 5.3?
91,compatibility,compatibility,Is this compatible with Windows 11?
92,compatibility,compatibility,Will it work with iPhone?
93,compatibility,compatibility,Supports Bluetooth 5.3?
94,compatibility,compatibility,Is this compatible with Windows 11?
95,compatibility,compatibility,Will it work with iPhone?
96,compatibility,compatibility,Supports Bluetooth 5.3?
97,compatibility,compatibility,Is this compatible with Windows 11?
98,compatibility,compatibility,Will it work with iPhone?
99,compatibility,compatibility,Supports Bluetooth 5.3?
100,compatibility,compatibility,Is this compatible with Windows 11?
