id,category,intent,question
1,shipping_delivery,shipping_delivery,Do you deliver iPhone 17 to PIN 751001?
2,shipping_delivery,shipping_delivery,Do you deliver Samsung Galaxy S25 to PIN 751002?
3,shipping_delivery,shipping_delivery,Do you deliver OnePlus 15 to PIN 751003?
4,shipping_delivery,shipping_delivery,Do you deliver Dell Inspiron to PIN 751004?
5,shipping_delivery,shipping_delivery,Do you deliver HP Pavilion to PIN 751005?
6,shipping_delivery,shipping_delivery,Do you deliver Sony Bravia to PIN 751006?
7,shipping_delivery,shipping_delivery,Do you deliver LG Refrigerator to PIN 751007?
8,shipping_delivery,shipping_delivery,Do you deliver Canon R50 to PIN 751008?
9,shipping_delivery,shipping_delivery,Do you deliver boAt Airdopes to PIN 751009?
10,shipping_delivery,shipping_delivery,Do you deliver ASUS ROG to PIN 751010?
11,shipping_delivery,shipping_delivery,Do you deliver iPhone 17 to PIN 751011?
12,shipping_delivery,shipping_delivery,Do you deliver Samsung Galaxy S25 to PIN 751012?
13,shipping_delivery,shipping_delivery,Do you deliver OnePlus 15 to PIN 751013?
14,shipping_delivery,shipping_delivery,Do you deliver Dell Inspiron to PIN 751014?
15,shipping_delivery,shipping_delivery,Do you deliver HP Pavilion to PIN 751015?
16,shipping_delivery,shipping_delivery,Do you deliver Sony Bravia to PIN 751016?
17,shipping_delivery,shipping_delivery,Do you deliver LG Refrigerator to PIN 751017?
18,shipping_delivery,shipping_delivery,Do you deliver Canon R50 to PIN 751018?
19,shipping_delivery,shipping_delivery,Do you deliver boAt Airdopes to PIN 751019?
20,shipping_delivery,shipping_delivery,Do you deliver ASUS ROG to PIN 751020?
21,shipping_delivery,shipping_delivery,Do you deliver iPhone 17 to PIN 751021?
22,shipping_delivery,shipping_delivery,Do you deliver Samsung Galaxy S25 to PIN 751022?
23,shipping_delivery,shipping_delivery,Do you deliver OnePlus 15 to PIN 751023?
24,shipping_delivery,shipping_delivery,Do you deliver Dell Inspiron to PIN 751024?
25,shipping_delivery,shipping_delivery,Do you deliver HP Pavilion to PIN 751025?
26,shipping_delivery,shipping_delivery,Do you deliver Sony Bravia to PIN 751026?
27,shipping_delivery,shipping_delivery,Do you deliver LG Refrigerator to PIN 751027?
28,shipping_delivery,shipping_delivery,Do you deliver Canon R50 to PIN 751028?
29,shipping_delivery,shipping_delivery,Do you deliver boAt Airdopes to PIN 751029?
30,shipping_delivery,shipping_delivery,Do you deliver ASUS ROG to PIN 751030?
31,shipping_delivery,shipping_delivery,Do you deliver iPhone 17 to PIN 751031?
32,shipping_delivery,shipping_delivery,Do you deliver Samsung Galaxy S25 to PIN 751032?
33,shipping_delivery,shipping_delivery,Do you deliver OnePlus 15 to PIN 751033?
34,shipping_delivery,shipping_delivery,Do you deliver Dell Inspiron to PIN 751034?
35,shipping_delivery,shipping_delivery,Do you deliver HP Pavilion to PIN 751035?
36,shipping_delivery,shipping_delivery,Do you deliver Sony Bravia to PIN 751036?
37,shipping_delivery,shipping_delivery,Do you deliver LG Refrigerator to PIN 751037?
38,shipping_delivery,shipping_delivery,Do you deliver Canon R50 to PIN 751038?
39,shipping_delivery,shipping_delivery,Do you deliver boAt Airdopes to PIN 751039?
40,shipping_delivery,shipping_delivery,Do you deliver ASUS ROG to PIN 751040?
41,shipping_delivery,shipping_delivery,Do you deliver iPhone 17 to PIN 751041?
42,shipping_delivery,shipping_delivery,Do you deliver Samsung Galaxy S25 to PIN 751042?
43,shipping_delivery,shipping_delivery,Do you deliver OnePlus 15 to PIN 751043?
44,shipping_delivery,shipping_delivery,Do you deliver Dell Inspiron to PIN 751044?
45,shipping_delivery,shipping_delivery,Do you deliver HP Pavilion to PIN 751045?
46,shipping_delivery,shipping_delivery,Do you deliver Sony Bravia to PIN 751046?
47,shipping_delivery,shipping_delivery,Do you deliver LG Refrigerator to PIN 751047?
48,shipping_delivery,shipping_delivery,Do you deliver Canon R50 to PIN 751048?
49,shipping_delivery,shipping_delivery,Do you deliver boAt Airdopes to PIN 751049?
50,shipping_delivery,shipping_delivery,Do you deliver ASUS ROG to PIN 751050?
