id,category,intent,question
1,cancellation_policy,cancellation_policy,Can I cancel my purchase?
2,cancellation_policy,cancellation_policy,Cancellation charges?
3,cancellation_policy,cancellation_policy,How long can I cancel?
4,cancellation_policy,cancellation_policy,Can I cancel my purchase?
5,cancellation_policy,cancellation_policy,Cancellation charges?
6,cancellation_policy,cancellation_policy,How long can I cancel?
7,cancellation_policy,cancellation_policy,Can I cancel my purchase?
8,cancellation_policy,cancellation_policy,Cancellation charges?
9,cancellation_policy,cancellation_policy,How long can I cancel?
10,cancellation_policy,cancellation_policy,Can I cancel my purchase?
11,cancellation_policy,cancellation_policy,Cancellation charges?
12,cancellation_policy,cancellation_policy,How long can I cancel?
13,cancellation_policy,cancellation_policy,Can I cancel my purchase?
14,cancellation_policy,cancellation_policy,Cancellation charges?
15,cancellation_policy,cancellation_policy,How long can I cancel?
16,cancellation_policy,cancellation_policy,Can I cancel my purchase?
17,cancellation_policy,cancellation_policy,Cancellation charges?
18,cancellation_policy,cancellation_policy,How long can I cancel?
19,cancellation_policy,cancellation_policy,Can I cancel my purchase?
20,cancellation_policy,cancellation_policy,Cancellation charges?
21,cancellation_policy,cancellation_policy,How long can I cancel?
22,cancellation_policy,cancellation_policy,Can I cancel my purchase?
23,cancellation_policy,cancellation_policy,Cancellation charges?
24,cancellation_policy,cancellation_policy,How long can I cancel?
25,cancellation_policy,cancellation_policy,Can I cancel my purchase?
26,cancellation_policy,cancellation_policy,Cancellation charges?
27,cancellation_policy,cancellation_policy,How long can I cancel?
28,cancellation_policy,cancellation_policy,Can I cancel my purchase?
29,cancellation_policy,cancellation_policy,Cancellation charges?
30,cancellation_policy,cancellation_policy,How long can I cancel?
31,cancellation_policy,cancellation_policy,Can I cancel my purchase?
32,cancellation_policy,cancellation_policy,Cancellation charges?
33,cancellation_policy,cancellation_policy,How long can I cancel?
34,cancellation_policy,cancellation_policy,Can I cancel my purchase?
35,cancellation_policy,cancellation_policy,Cancellation charges?
36,cancellation_policy,cancellation_policy,How long can I cancel?
37,cancellation_policy,cancellation_policy,Can I cancel my purchase?
38,cancellation_policy,cancellation_policy,Cancellation charges?
39,cancellation_policy,cancellation_policy,How long can I cancel?
40,cancellation_policy,cancellation_policy,Can I cancel my purchase?
41,cancellation_policy,cancellation_policy,Cancellation charges?
42,cancellation_policy,cancellation_policy,How long can I cancel?
43,cancellation_policy,cancellation_policy,Can I cancel my purchase?
44,cancellation_policy,cancellation_policy,Cancellation charges?
45,cancellation_policy,cancellation_policy,How long can I cancel?
46,cancellation_policy,cancellation_policy,Can I cancel my purchase?
47,cancellation_policy,cancellation_policy,Cancellation charges?
48,cancellation_policy,cancellation_policy,How long can I cancel?
49,cancellation_policy,cancellation_policy,Can I cancel my purchase?
50,cancellation_policy,cancellation_policy,Cancellation charges?
51,cancellation_policy,cancellation_policy,How long can I cancel?
52,cancellation_policy,cancellation_policy,Can I cancel my purchase?
53,cancellation_policy,cancellation_policy,Cancellation charges?
54,cancellation_policy,cancellation_policy,How long can I cancel?
55,cancellation_policy,cancellation_policy,Can I cancel my purchase?
56,cancellation_policy,cancellation_policy,Cancellation charges?
57,cancellation_policy,cancellation_policy,How long can I cancel?
58,cancellation_policy,cancellation_policy,Can I cancel my purchase?
59,cancellation_policy,cancellation_policy,Cancellation charges?
60,cancellation_policy,cancellation_policy,How long can I cancel?
61,cancellation_policy,cancellation_policy,Can I cancel my purchase?
62,cancellation_policy,cancellation_policy,Cancellation charges?
63,cancellation_policy,cancellation_policy,How long can I cancel?
64,cancellation_policy,cancellation_policy,Can I cancel my purchase?
65,cancellation_policy,cancellation_policy,Cancellation charges?
66,cancellation_policy,cancellation_policy,How long can I cancel?
67,cancellation_policy,cancellation_policy,Can I cancel my purchase?
68,cancellation_policy,cancellation_policy,Cancellation charges?
69,cancellation_policy,cancellation_policy,How long can I cancel?
70,cancellation_policy,cancellation_policy,Can I cancel my purchase?
71,cancellation_policy,cancellation_policy,Cancellation charges?
72,cancellation_policy,cancellation_policy,How long can I cancel?
73,cancellation_policy,cancellation_policy,Can I cancel my purchase?
74,cancellation_policy,cancellation_policy,Cancellation charges?
75,cancellation_policy,cancellation_policy,How long can I cancel?
76,cancellation_policy,cancellation_policy,Can I cancel my purchase?
77,cancellation_policy,cancellation_policy,Cancellation charges?
78,cancellation_policy,cancellation_policy,How long can I cancel?
79,cancellation_policy,cancellation_policy,Can I cancel my purchase?
80,cancellation_policy,cancellation_policy,Cancellation charges?
81,cancellation_policy,cancellation_policy,How long can I cancel?
82,cancellation_policy,cancellation_policy,Can I cancel my purchase?
83,cancellation_policy,cancellation_policy,Cancellation charges?
84,cancellation_policy,cancellation_policy,How long can I cancel?
85,cancellation_policy,cancellation_policy,Can I cancel my purchase?
86,cancellation_policy,cancellation_policy,Cancellation charges?
87,cancellation_policy,cancellation_policy,How long can I cancel?
88,cancellation_policy,cancellation_policy,Can I cancel my purchase?
89,cancellation_policy,cancellation_policy,Cancellation charges?
90,cancellation_policy,cancellation_policy,How long can I cancel?
91,cancellation_policy,cancellation_policy,Can I cancel my purchase?
92,cancellation_policy,cancellation_policy,Cancellation charges?
