id,category,intent,question
1,product_comparison,product_comparison,Compare iPhone 17 with Samsung Galaxy S25 based on feature set 1.
2,product_comparison,product_comparison,Compare Samsung Galaxy S25 with OnePlus 15 based on feature set 2.
3,product_comparison,product_comparison,Compare OnePlus 15 with Dell Inspiron based on feature set 3.
4,product_comparison,product_comparison,Compare Dell Inspiron with HP Pavilion based on feature set 4.
5,product_comparison,product_comparison,Compare HP Pavilion with Sony Bravia based on feature set 5.
6,product_comparison,product_comparison,Compare Sony Bravia with LG Refrigerator based on feature set 6.
7,product_comparison,product_comparison,Compare LG Refrigerator with Canon R50 based on feature set 7.
8,product_comparison,product_comparison,Compare Canon R50 with boAt Airdopes based on feature set 8.
9,product_comparison,product_comparison,Compare boAt Airdopes with ASUS ROG based on feature set 9.
10,product_comparison,product_comparison,Compare ASUS ROG with iPhone 17 based on feature set 10.
11,product_comparison,product_comparison,Compare iPhone 17 with Samsung Galaxy S25 based on feature set 11.
12,product_comparison,product_comparison,Compare Samsung Galaxy S25 with OnePlus 15 based on feature set 12.
13,product_comparison,product_comparison,Compare OnePlus 15 with Dell Inspiron based on feature set 13.
14,product_comparison,product_comparison,Compare Dell Inspiron with HP Pavilion based on feature set 14.
15,product_comparison,product_comparison,Compare HP Pavilion with Sony Bravia based on feature set 15.
16,product_comparison,product_comparison,Compare Sony Bravia with LG Refrigerator based on feature set 16.
17,product_comparison,product_comparison,Compare LG Refrigerator with Canon R50 based on feature set 17.
18,product_comparison,product_comparison,Compare Canon R50 with boAt Airdopes based on feature set 18.
19,product_comparison,product_comparison,Compare boAt Airdopes with ASUS ROG based on feature set 19.
20,product_comparison,product_comparison,Compare ASUS ROG with iPhone 17 based on feature set 20.
21,product_comparison,product_comparison,Compare iPhone 17 with Samsung Galaxy S25 based on feature set 21.
22,product_comparison,product_comparison,Compare Samsung Galaxy S25 with OnePlus 15 based on feature set 22.
23,product_comparison,product_comparison,Compare OnePlus 15 with Dell Inspiron based on feature set 23.
24,product_comparison,product_comparison,Compare Dell Inspiron with HP Pavilion based on feature set 24.
25,product_comparison,product_comparison,Compare HP Pavilion with Sony Bravia based on feature set 25.
26,product_comparison,product_comparison,Compare Sony Bravia with LG Refrigerator based on feature set 26.
27,product_comparison,product_comparison,Compare LG Refrigerator with Canon R50 based on feature set 27.
28,product_comparison,product_comparison,Compare Canon R50 with boAt Airdopes based on feature set 28.
29,product_comparison,product_comparison,Compare boAt Airdopes with ASUS ROG based on feature set 29.
30,product_comparison,product_comparison,Compare ASUS ROG with iPhone 17 based on feature set 30.
31,product_comparison,product_comparison,Compare iPhone 17 with Samsung Galaxy S25 based on feature set 31.
32,product_comparison,product_comparison,Compare Samsung Galaxy S25 with OnePlus 15 based on feature set 32.
33,product_comparison,product_comparison,Compare OnePlus 15 with Dell Inspiron based on feature set 33.
34,product_comparison,product_comparison,Compare Dell Inspiron with HP Pavilion based on feature set 34.
35,product_comparison,product_comparison,Compare HP Pavilion with Sony Bravia based on feature set 35.
36,product_comparison,product_comparison,Compare Sony Bravia with LG Refrigerator based on feature set 36.
37,product_comparison,product_comparison,Compare LG Refrigerator with Canon R50 based on feature set 37.
38,product_comparison,product_comparison,Compare Canon R50 with boAt Airdopes based on feature set 38.
39,product_comparison,product_comparison,Compare boAt Airdopes with ASUS ROG based on feature set 39.
40,product_comparison,product_comparison,Compare ASUS ROG with iPhone 17 based on feature set 40.
41,product_comparison,product_comparison,Compare iPhone 17 with Samsung Galaxy S25 based on feature set 41.
42,product_comparison,product_comparison,Compare Samsung Galaxy S25 with OnePlus 15 based on feature set 42.
43,product_comparison,product_comparison,Compare OnePlus 15 with Dell Inspiron based on feature set 43.
44,product_comparison,product_comparison,Compare Dell Inspiron with HP Pavilion based on feature set 44.
45,product_comparison,product_comparison,Compare HP Pavilion with Sony Bravia based on feature set 45.
46,product_comparison,product_comparison,Compare Sony Bravia with LG Refrigerator based on feature set 46.
47,product_comparison,product_comparison,Compare LG Refrigerator with Canon R50 based on feature set 47.
48,product_comparison,product_comparison,Compare Canon R50 with boAt Airdopes based on feature set 48.
49,product_comparison,product_comparison,Compare boAt Airdopes with ASUS ROG based on feature set 49.
50,product_comparison,product_comparison,Compare ASUS ROG with iPhone 17 based on feature set 50.
