id,category,intent,question
1,technical_support,technical_support,My iPhone 17 has technical issue code 1. How can I fix it?
2,technical_support,technical_support,My Samsung Galaxy S25 has technical issue code 2. How can I fix it?
3,technical_support,technical_support,My OnePlus 15 has technical issue code 3. How can I fix it?
4,technical_support,technical_support,My Dell Inspiron has technical issue code 4. How can I fix it?
5,technical_support,technical_support,My HP Pavilion has technical issue code 5. How can I fix it?
6,technical_support,technical_support,My Sony Bravia has technical issue code 6. How can I fix it?
7,technical_support,technical_support,My LG Refrigerator has technical issue code 7. How can I fix it?
8,technical_support,technical_support,My Canon R50 has technical issue code 8. How can I fix it?
9,technical_support,technical_support,My boAt Airdopes has technical issue code 9. How can I fix it?
10,technical_support,technical_support,My ASUS ROG has technical issue code 10. How can I fix it?
11,technical_support,technical_support,My iPhone 17 has technical issue code 11. How can I fix it?
12,technical_support,technical_support,My Samsung Galaxy S25 has technical issue code 12. How can I fix it?
13,technical_support,technical_support,My OnePlus 15 has technical issue code 13. How can I fix it?
14,technical_support,technical_support,My Dell Inspiron has technical issue code 14. How can I fix it?
15,technical_support,technical_support,My HP Pavilion has technical issue code 15. How can I fix it?
16,technical_support,technical_support,My Sony Bravia has technical issue code 16. How can I fix it?
17,technical_support,technical_support,My LG Refrigerator has technical issue code 17. How can I fix it?
18,technical_support,technical_support,My Canon R50 has technical issue code 18. How can I fix it?
19,technical_support,technical_support,My boAt Airdopes has technical issue code 19. How can I fix it?
20,technical_support,technical_support,My ASUS ROG has technical issue code 20. How can I fix it?
21,technical_support,technical_support,My iPhone 17 has technical issue code 21. How can I fix it?
22,technical_support,technical_support,My Samsung Galaxy S25 has technical issue code 22. How can I fix it?
23,technical_support,technical_support,My OnePlus 15 has technical issue code 23. How can I fix it?
24,technical_support,technical_support,My Dell Inspiron has technical issue code 24. How can I fix it?
25,technical_support,technical_support,My HP Pavilion has technical issue code 25. How can I fix it?
26,technical_support,technical_support,My Sony Bravia has technical issue code 26. How can I fix it?
27,technical_support,technical_support,My LG Refrigerator has technical issue code 27. How can I fix it?
28,technical_support,technical_support,My Canon R50 has technical issue code 28. How can I fix it?
29,technical_support,technical_support,My boAt Airdopes has technical issue code 29. How can I fix it?
30,technical_support,technical_support,My ASUS ROG has technical issue code 30. How can I fix it?
31,technical_support,technical_support,My iPhone 17 has technical issue code 31. How can I fix it?
32,technical_support,technical_support,My Samsung Galaxy S25 has technical issue code 32. How can I fix it?
33,technical_support,technical_support,My OnePlus 15 has technical issue code 33. How can I fix it?
34,technical_support,technical_support,My Dell Inspiron has technical issue code 34. How can I fix it?
35,technical_support,technical_support,My HP Pavilion has technical issue code 35. How can I fix it?
36,technical_support,technical_support,My Sony Bravia has technical issue code 36. How can I fix it?
37,technical_support,technical_support,My LG Refrigerator has technical issue code 37. How can I fix it?
38,technical_support,technical_support,My Canon R50 has technical issue code 38. How can I fix it?
39,technical_support,technical_support,My boAt Airdopes has technical issue code 39. How can I fix it?
40,technical_support,technical_support,My ASUS ROG has technical issue code 40. How can I fix it?
41,technical_support,technical_support,My iPhone 17 has technical issue code 41. How can I fix it?
42,technical_support,technical_support,My Samsung Galaxy S25 has technical issue code 42. How can I fix it?
43,technical_support,technical_support,My OnePlus 15 has technical issue code 43. How can I fix it?
44,technical_support,technical_support,My Dell Inspiron has technical issue code 44. How can I fix it?
45,technical_support,technical_support,My HP Pavilion has technical issue code 45. How can I fix it?
46,technical_support,technical_support,My Sony Bravia has technical issue code 46. How can I fix it?
47,technical_support,technical_support,My LG Refrigerator has technical issue code 47. How can I fix it?
48,technical_support,technical_support,My Canon R50 has technical issue code 48. How can I fix it?
49,technical_support,technical_support,My boAt Airdopes has technical issue code 49. How can I fix it?
50,technical_support,technical_support,My ASUS ROG has technical issue code 50. How can I fix it?
