id,category,intent,question
1,customer_support,customer_support,How do I contact support?
2,customer_support,customer_support,Support timings?
3,customer_support,customer_support,Live chat available?
4,customer_support,customer_support,How do I contact support?
5,customer_support,customer_support,Support timings?
6,customer_support,customer_support,Live chat available?
7,customer_support,customer_support,How do I contact support?
8,customer_support,customer_support,Support timings?
9,customer_support,customer_support,Live chat available?
10,customer_support,customer_support,How do I contact support?
11,customer_support,customer_support,Support timings?
12,customer_support,customer_support,Live chat available?
13,customer_support,customer_support,How do I contact support?
14,customer_support,customer_support,Support timings?
15,customer_support,customer_support,Live chat available?
16,customer_support,customer_support,How do I contact support?
17,customer_support,customer_support,Support timings?
18,customer_support,customer_support,Live chat available?
19,customer_support,customer_support,How do I contact support?
20,customer_support,customer_support,Support timings?
21,customer_support,customer_support,Live chat available?
22,customer_support,customer_support,How do I contact support?
23,customer_support,customer_support,Support timings?
24,customer_support,customer_support,Live chat available?
25,customer_support,customer_support,How do I contact support?
26,customer_support,customer_support,Support timings?
27,customer_support,customer_support,Live chat available?
28,customer_support,customer_support,How do I contact support?
29,customer_support,customer_support,Support timings?
30,customer_support,customer_support,Live chat available?
31,customer_support,customer_support,How do I contact support?
32,customer_support,customer_support,Support timings?
33,customer_support,customer_support,Live chat available?
34,customer_support,customer_support,How do I contact support?
35,customer_support,customer_support,Support timings?
36,customer_support,customer_support,Live chat available?
37,customer_support,customer_support,How do I contact support?
38,customer_support,customer_support,Support timings?
39,customer_support,customer_support,Live chat available?
40,customer_support,customer_support,How do I contact support?
41,customer_support,customer_support,Support timings?
42,customer_support,customer_support,Live chat available?
43,customer_support,customer_support,How do I contact support?
44,customer_support,customer_support,Support timings?
45,customer_support,customer_support,Live chat available?
46,customer_support,customer_support,How do I contact support?
47,customer_support,customer_support,Support timings?
48,customer_support,customer_support,Live chat available?
49,customer_support,customer_support,How do I contact support?
50,customer_support,customer_support,Support timings?
51,customer_support,customer_support,Live chat available?
52,customer_support,customer_support,How do I contact support?
53,customer_support,customer_support,Support timings?
54,customer_support,customer_support,Live chat available?
55,customer_support,customer_support,How do I contact support?
56,customer_support,customer_support,Support timings?
57,customer_support,customer_support,Live chat available?
58,customer_support,customer_support,How do I contact support?
59,customer_support,customer_support,Support timings?
60,customer_support,customer_support,Live chat available?
61,customer_support,customer_support,How do I contact support?
62,customer_support,customer_support,Support timings?
63,customer_support,customer_support,Live chat available?
64,customer_support,customer_support,How do I contact support?
65,customer_support,customer_support,Support timings?
66,customer_support,customer_support,Live chat available?
67,customer_support,customer_support,How do I contact support?
68,customer_support,customer_support,Support timings?
69,customer_support,customer_support,Live chat available?
70,customer_support,customer_support,How do I contact support?
71,customer_support,customer_support,Support timings?
72,customer_support,customer_support,Live chat available?
73,customer_support,customer_support,How do I contact support?
74,customer_support,customer_support,Support timings?
75,customer_support,customer_support,Live chat available?
76,customer_support,customer_support,How do I contact support?
77,customer_support,customer_support,Support timings?
78,customer_support,customer_support,Live chat available?
79,customer_support,customer_support,How do I contact support?
80,customer_support,customer_support,Support timings?
81,customer_support,customer_support,Live chat available?
82,customer_support,customer_support,How do I contact support?
83,customer_support,customer_support,Support timings?
84,customer_support,customer_support,Live chat available?
85,customer_support,customer_support,How do I contact support?
86,customer_support,customer_support,Support timings?
87,customer_support,customer_support,Live chat available?
88,customer_support,customer_support,How do I contact support?
89,customer_support,customer_support,Support timings?
90,customer_support,customer_support,Live chat available?
91,customer_support,customer_support,How do I contact support?
92,customer_support,customer_support,Support timings?
93,customer_support,customer_support,Live chat available?
94,customer_support,customer_support,How do I contact support?
95,customer_support,customer_support,Support timings?
96,customer_support,customer_support,Live chat available?
97,customer_support,customer_support,How do I contact support?
98,customer_support,customer_support,Support timings?
99,customer_support,customer_support,Live chat available?
100,customer_support,customer_support,How do I contact support?
