id,category,intent,question
1,installation,installation,Is installation free?
2,installation,installation,Who installs the TV?
3,installation,installation,Installation time?
4,installation,installation,Is installation free?
5,installation,installation,Who installs the TV?
6,installation,installation,Installation time?
7,installation,installation,Is installation free?
8,installation,installation,Who installs the TV?
9,installation,installation,Installation time?
10,installation,installation,Is installation free?
11,installation,installation,Who installs the TV?
12,installation,installation,Installation time?
13,installation,installation,Is installation free?
14,installation,installation,Who installs the TV?
15,installation,installation,Installation time?
16,installation,installation,Is installation free?
17,installation,installation,Who installs the TV?
18,installation,installation,Installation time?
19,installation,installation,Is installation free?
20,installation,installation,Who installs the TV?
21,installation,installation,Installation time?
22,installation,installation,Is installation free?
23,installation,installation,Who installs the TV?
24,installation,installation,Installation time?
25,installation,installation,Is installation free?
26,installation,installation,Who installs the TV?
27,installation,installation,Installation time?
28,installation,installation,Is installation free?
29,installation,installation,Who installs the TV?
30,installation,installation,Installation time?
31,installation,installation,Is installation free?
32,installation,installation,Who installs the TV?
33,installation,installation,Installation time?
34,installation,installation,Is installation free?
35,installation,installation,Who installs the TV?
36,installation,installation,Installation time?
37,installation,installation,Is installation free?
38,installation,installation,Who installs the TV?
39,installation,installation,Installation time?
40,installation,installation,Is installation free?
41,installation,installation,Who installs the TV?
42,installation,installation,Installation time?
43,installation,installation,Is installation free?
44,installation,installation,Who installs the TV?
45,installation,installation,Installation time?
46,installation,installation,Is installation free?
47,installation,installation,Who installs the TV?
48,installation,installation,Installation time?
49,installation,installation,Is installation free?
50,installation,installation,Who installs the TV?
51,installation,installation,Installation time?
52,installation,installation,Is installation free?
53,installation,installation,Who installs the TV?
54,installation,installation,Installation time?
55,installation,installation,Is installation free?
56,installation,installation,Who installs the TV?
57,installation,installation,Installation time?
58,installation,installation,Is installation free?
59,installation,installation,Who installs the TV?
60,installation,installation,Installation time?
61,installation,installation,Is installation free?
62,installation,installation,Who installs the TV?
63,installation,installation,Installation time?
64,installation,installation,Is installation free?
65,installation,installation,Who installs the TV?
66,installation,installation,Installation time?
67,installation,installation,Is installation free?
68,installation,installation,Who installs the TV?
69,installation,installation,Installation time?
70,installation,installation,Is installation free?
71,installation,installation,Who installs the TV?
72,installation,installation,Installation time?
73,installation,installation,Is installation free?
74,installation,installation,Who installs the TV?
75,installation,installation,Installation time?
76,installation,installation,Is installation free?
77,installation,installation,Who installs the TV?
78,installation,installation,Installation time?
79,installation,installation,Is installation free?
80,installation,installation,Who installs the TV?
81,installation,installation,Installation time?
82,installation,installation,Is installation free?
83,installation,installation,Who installs the TV?
84,installation,installation,Installation time?
85,installation,installation,Is installation free?
86,installation,installation,Who installs the TV?
87,installation,installation,Installation time?
88,installation,installation,Is installation free?
89,installation,installation,Who installs the TV?
90,installation,installation,Installation time?
91,installation,installation,Is installation free?
92,installation,installation,Who installs the TV?
93,installation,installation,Installation time?
94,installation,installation,Is installation free?
95,installation,installation,Who installs the TV?
96,installation,installation,Installation time?
97,installation,installation,Is installation free?
98,installation,installation,Who installs the TV?
99,installation,installation,Installation time?
100,installation,installation,Is installation free?
