id,category,intent,question
1,warranty,warranty,How does warranty policy apply to iPhone 17 purchase #1?
2,warranty,warranty,How does warranty policy apply to Samsung Galaxy S25 purchase #2?
3,warranty,warranty,How does warranty policy apply to OnePlus 15 purchase #3?
4,warranty,warranty,How does warranty policy apply to Dell Inspiron purchase #4?
5,warranty,warranty,How does warranty policy apply to HP Pavilion purchase #5?
6,warranty,warranty,How does warranty policy apply to Sony Bravia purchase #6?
7,warranty,warranty,How does warranty policy apply to LG Refrigerator purchase #7?
8,warranty,warranty,How does warranty policy apply to Canon R50 purchase #8?
9,warranty,warranty,How does warranty policy apply to boAt Airdopes purchase #9?
10,warranty,warranty,How does warranty policy apply to ASUS ROG purchase #10?
11,warranty,warranty,How does warranty policy apply to iPhone 17 purchase #11?
12,warranty,warranty,How does warranty policy apply to Samsung Galaxy S25 purchase #12?
13,warranty,warranty,How does warranty policy apply to OnePlus 15 purchase #13?
14,warranty,warranty,How does warranty policy apply to Dell Inspiron purchase #14?
15,warranty,warranty,How does warranty policy apply to HP Pavilion purchase #15?
16,warranty,warranty,How does warranty policy apply to Sony Bravia purchase #16?
17,warranty,warranty,How does warranty policy apply to LG Refrigerator purchase #17?
18,warranty,warranty,How does warranty policy apply to Canon R50 purchase #18?
19,warranty,warranty,How does warranty policy apply to boAt Airdopes purchase #19?
20,warranty,warranty,How does warranty policy apply to ASUS ROG purchase #20?
21,warranty,warranty,How does warranty policy apply to iPhone 17 purchase #21?
22,warranty,warranty,How does warranty policy apply to Samsung Galaxy S25 purchase #22?
23,warranty,warranty,How does warranty policy apply to OnePlus 15 purchase #23?
24,warranty,warranty,How does warranty policy apply to Dell Inspiron purchase #24?
25,warranty,warranty,How does warranty policy apply to HP Pavilion purchase #25?
26,warranty,warranty,How does warranty policy apply to Sony Bravia purchase #26?
27,warranty,warranty,How does warranty policy apply to LG Refrigerator purchase #27?
28,warranty,warranty,How does warranty policy apply to Canon R50 purchase #28?
29,warranty,warranty,How does warranty policy apply to boAt Airdopes purchase #29?
30,warranty,warranty,How does warranty policy apply to ASUS ROG purchase #30?
31,warranty,warranty,How does warranty policy apply to iPhone 17 purchase #31?
32,warranty,warranty,How does warranty policy apply to Samsung Galaxy S25 purchase #32?
33,warranty,warranty,How does warranty policy apply to OnePlus 15 purchase #33?
34,warranty,warranty,How does warranty policy apply to Dell Inspiron purchase #34?
35,warranty,warranty,How does warranty policy apply to HP Pavilion purchase #35?
36,warranty,warranty,How does warranty policy apply to Sony Bravia purchase #36?
37,warranty,warranty,How does warranty policy apply to LG Refrigerator purchase #37?
38,warranty,warranty,How does warranty policy apply to Canon R50 purchase #38?
39,warranty,warranty,How does warranty policy apply to boAt Airdopes purchase #39?
40,warranty,warranty,How does warranty policy apply to ASUS ROG purchase #40?
41,warranty,warranty,How does warranty policy apply to iPhone 17 purchase #41?
42,warranty,warranty,How does warranty policy apply to Samsung Galaxy S25 purchase #42?
43,warranty,warranty,How does warranty policy apply to OnePlus 15 purchase #43?
44,warranty,warranty,How does warranty policy apply to Dell Inspiron purchase #44?
45,warranty,warranty,How does warranty policy apply to HP Pavilion purchase #45?
46,warranty,warranty,How does warranty policy apply to Sony Bravia purchase #46?
47,warranty,warranty,How does warranty policy apply to LG Refrigerator purchase #47?
48,warranty,warranty,How does warranty policy apply to Canon R50 purchase #48?
49,warranty,warranty,How does warranty policy apply to boAt Airdopes purchase #49?
50,warranty,warranty,How does warranty policy apply to ASUS ROG purchase #50?
