id,category,intent,question
1,product_specifications,product_specifications,What is specification #1 of iPhone 17?
2,product_specifications,product_specifications,What is specification #2 of Samsung Galaxy S25?
3,product_specifications,product_specifications,What is specification #3 of OnePlus 15?
4,product_specifications,product_specifications,What is specification #4 of Dell Inspiron?
5,product_specifications,product_specifications,What is specification #5 of HP Pavilion?
6,product_specifications,product_specifications,What is specification #6 of Sony Bravia?
7,product_specifications,product_specifications,What is specification #7 of LG Refrigerator?
8,product_specifications,product_specifications,What is specification #8 of Canon R50?
9,product_specifications,product_specifications,What is specification #9 of boAt Airdopes?
10,product_specifications,product_specifications,What is specification #10 of ASUS ROG?
11,product_specifications,product_specifications,What is specification #11 of iPhone 17?
12,product_specifications,product_specifications,What is specification #12 of Samsung Galaxy S25?
13,product_specifications,product_specifications,What is specification #13 of OnePlus 15?
14,product_specifications,product_specifications,What is specification #14 of Dell Inspiron?
15,product_specifications,product_specifications,What is specification #15 of HP Pavilion?
16,product_specifications,product_specifications,What is specification #16 of Sony Bravia?
17,product_specifications,product_specifications,What is specification #17 of LG Refrigerator?
18,product_specifications,product_specifications,What is specification #18 of Canon R50?
19,product_specifications,product_specifications,What is specification #19 of boAt Airdopes?
20,product_specifications,product_specifications,What is specification #20 of ASUS ROG?
21,product_specifications,product_specifications,What is specification #21 of iPhone 17?
22,product_specifications,product_specifications,What is specification #22 of Samsung Galaxy S25?
23,product_specifications,product_specifications,What is specification #23 of OnePlus 15?
24,product_specifications,product_specifications,What is specification #24 of Dell Inspiron?
25,product_specifications,product_specifications,What is specification #25 of HP Pavilion?
26,product_specifications,product_specifications,What is specification #26 of Sony Bravia?
27,product_specifications,product_specifications,What is specification #27 of LG Refrigerator?
28,product_specifications,product_specifications,What is specification #28 of Canon R50?
29,product_specifications,product_specifications,What is specification #29 of boAt Airdopes?
30,product_specifications,product_specifications,What is specification #30 of ASUS ROG?
31,product_specifications,product_specifications,What is specification #31 of iPhone 17?
32,product_specifications,product_specifications,What is specification #32 of Samsung Galaxy S25?
33,product_specifications,product_specifications,What is specification #33 of OnePlus 15?
34,product_specifications,product_specifications,What is specification #34 of Dell Inspiron?
35,product_specifications,product_specifications,What is specification #35 of HP Pavilion?
36,product_specifications,product_specifications,What is specification #36 of Sony Bravia?
37,product_specifications,product_specifications,What is specification #37 of LG Refrigerator?
38,product_specifications,product_specifications,What is specification #38 of Canon R50?
39,product_specifications,product_specifications,What is specification #39 of boAt Airdopes?
40,product_specifications,product_specifications,What is specification #40 of ASUS ROG?
41,product_specifications,product_specifications,What is specification #41 of iPhone 17?
42,product_specifications,product_specifications,What is specification #42 of Samsung Galaxy S25?
43,product_specifications,product_specifications,What is specification #43 of OnePlus 15?
44,product_specifications,product_specifications,What is specification #44 of Dell Inspiron?
45,product_specifications,product_specifications,What is specification #45 of HP Pavilion?
46,product_specifications,product_specifications,What is specification #46 of Sony Bravia?
47,product_specifications,product_specifications,What is specification #47 of LG Refrigerator?
48,product_specifications,product_specifications,What is specification #48 of Canon R50?
49,product_specifications,product_specifications,What is specification #49 of boAt Airdopes?
50,product_specifications,product_specifications,What is specification #50 of ASUS ROG?
