id,category,intent,question
1,subscriptions,subscriptions,Any membership plans?
2,subscriptions,subscriptions,Benefits of premium?
3,subscriptions,subscriptions,How to cancel subscription?
4,subscriptions,subscriptions,Any membership plans?
5,subscriptions,subscriptions,Benefits of premium?
6,subscriptions,subscriptions,How to cancel subscription?
7,subscriptions,subscriptions,Any membership plans?
8,subscriptions,subscriptions,Benefits of premium?
9,subscriptions,subscriptions,How to cancel subscription?
10,subscriptions,subscriptions,Any membership plans?
11,subscriptions,subscriptions,Benefits of premium?
12,subscriptions,subscriptions,How to cancel subscription?
13,subscriptions,subscriptions,Any membership plans?
14,subscriptions,subscriptions,Benefits of premium?
15,subscriptions,subscriptions,How to cancel subscription?
16,subscriptions,subscriptions,Any membership plans?
17,subscriptions,subscriptions,Benefits of premium?
18,subscriptions,subscriptions,How to cancel subscription?
19,subscriptions,subscriptions,Any membership plans?
20,subscriptions,subscriptions,Benefits of premium?
21,subscriptions,subscriptions,How to cancel subscription?
22,subscriptions,subscriptions,Any membership plans?
23,subscriptions,subscriptions,Benefits of premium?
24,subscriptions,subscriptions,How to cancel subscription?
25,subscriptions,subscriptions,Any membership plans?
26,subscriptions,subscriptions,Benefits of premium?
27,subscriptions,subscriptions,How to cancel subscription?
28,subscriptions,subscriptions,Any membership plans?
29,subscriptions,subscriptions,Benefits of premium?
30,subscriptions,subscriptions,How to cancel subscription?
31,subscriptions,subscriptions,Any membership plans?
32,subscriptions,subscriptions,Benefits of premium?
33,subscriptions,subscriptions,How to cancel subscription?
34,subscriptions,subscriptions,Any membership plans?
35,subscriptions,subscriptions,Benefits of premium?
36,subscriptions,subscriptions,How to cancel subscription?
37,subscriptions,subscriptions,Any membership plans?
38,subscriptions,subscriptions,Benefits of premium?
39,subscriptions,subscriptions,How to cancel subscription?
40,subscriptions,subscriptions,Any membership plans?
41,subscriptions,subscriptions,Benefits of premium?
42,subscriptions,subscriptions,How to cancel subscription?
43,subscriptions,subscriptions,Any membership plans?
44,subscriptions,subscriptions,Benefits of premium?
45,subscriptions,subscriptions,How to cancel subscription?
46,subscriptions,subscriptions,Any membership plans?
47,subscriptions,subscriptions,Benefits of premium?
48,subscriptions,subscriptions,How to cancel subscription?
49,subscriptions,subscriptions,Any membership plans?
50,subscriptions,subscriptions,Benefits of premium?
51,subscriptions,subscriptions,How to cancel subscription?
52,subscriptions,subscriptions,Any membership plans?
53,subscriptions,subscriptions,Benefits of premium?
54,subscriptions,subscriptions,How to cancel subscription?
55,subscriptions,subscriptions,Any membership plans?
56,subscriptions,subscriptions,Benefits of premium?
57,subscriptions,subscriptions,How to cancel subscription?
58,subscriptions,subscriptions,Any membership plans?
59,subscriptions,subscriptions,Benefits of premium?
60,subscriptions,subscriptions,How to cancel subscription?
61,subscriptions,subscriptions,Any membership plans?
62,subscriptions,subscriptions,Benefits of premium?
63,subscriptions,subscriptions,How to cancel subscription?
64,subscriptions,subscriptions,Any membership plans?
65,subscriptions,subscriptions,Benefits of premium?
66,subscriptions,subscriptions,How to cancel subscription?
67,subscriptions,subscriptions,Any membership plans?
68,subscriptions,subscriptions,Benefits of premium?
69,subscriptions,subscriptions,How to cancel subscription?
70,subscriptions,subscriptions,Any membership plans?
71,subscriptions,subscriptions,Benefits of premium?
72,subscriptions,subscriptions,How to cancel subscription?
73,subscriptions,subscriptions,Any membership plans?
74,subscriptions,subscriptions,Benefits of premium?
75,subscriptions,subscriptions,How to cancel subscription?
76,subscriptions,subscriptions,Any membership plans?
77,subscriptions,subscriptions,Benefits of premium?
78,subscriptions,subscriptions,How to cancel subscription?
79,subscriptions,subscriptions,Any membership plans?
80,subscriptions,subscriptions,Benefits of premium?
81,subscriptions,subscriptions,How to cancel subscription?
82,subscriptions,subscriptions,Any membership plans?
83,subscriptions,subscriptions,Benefits of premium?
84,subscriptions,subscriptions,How to cancel subscription?
85,subscriptions,subscriptions,Any membership plans?
86,subscriptions,subscriptions,Benefits of premium?
87,subscriptions,subscriptions,How to cancel subscription?
88,subscriptions,subscriptions,Any membership plans?
89,subscriptions,subscriptions,Benefits of premium?
90,subscriptions,subscriptions,How to cancel subscription?
91,subscriptions,subscriptions,Any membership plans?
92,subscriptions,subscriptions,Benefits of premium?
93,subscriptions,subscriptions,How to cancel subscription?
94,subscriptions,subscriptions,Any membership plans?
95,subscriptions,subscriptions,Benefits of premium?
96,subscriptions,subscriptions,How to cancel subscription?
97,subscriptions,subscriptions,Any membership plans?
98,subscriptions,subscriptions,Benefits of premium?
99,subscriptions,subscriptions,How to cancel subscription?
100,subscriptions,subscriptions,Any membership plans?
